MMM,,,,
Date,Open,High,Low,Close*
23-Nov-18,197.76,198.68,196.79,196.8
Dividend,1.36,,,
18-Nov-18,207.83,208.05,196.79,196.8
11-Nov-18,200.57,209.77,196.24,209
3-Nov-18,193.5,204.27,192.21,201.1
27-Oct-18,187.85,194.47,183.16,192.81
20-Oct-18,201.25,203.4,181.98,184.95
13-Oct-18,197.82,203.77,197.42,199.85
6-Oct-18,213.13,214.58,195.93,198.23
29-Sep-18,212.4,217.34,211.06,213.19
22-Sep-18,215.39,215.87,208.87,210.71
15-Sep-18,207.46,217.87,207.3,216.33
8-Sep-18,213.68,216.37,205.9,207.88
1-Sep-18,210.55,213.37,207.35,212.57
25-Aug-18,206.18,211.72,205.85,210.92
Dividend,1.36,,,
18-Aug-18,205.72,206.04,201.46,205.29
11-Aug-18,202.02,204.99,197.11,204.77
4-Aug-18,207.45,209.61,201,201.96
28-Jul-18,208.25,212.78,203.85,207.29
21-Jul-18,201.54,210.6,190.57,207.42
14-Jul-18,201.55,203.17,198.25,201.95
7-Jul-18,198.14,202.58,197.4,201.18
30-Jun-18,195.46,198.95,193.51,197.46
23-Jun-18,195.98,199.9,193.64,196.72
16-Jun-18,202.53,204.57,194.59,196.5
9-Jun-18,206.59,206.79,200.11,204.97
2-Jun-18,200.73,206.75,200.07,206.59
26-May-18,198,200.42,195.1,199.59
19-May-18,200.5,202.93,196.56,199.03
Dividend,1.36,,,
12-May-18,205.67,206.04,198.45,198.96
5-May-18,200.06,205.68,199.56,205.16
28-Apr-18,196.96,199.93,191.44,199.36
21-Apr-18,218.02,218.73,194.4,196.12
14-Apr-18,217.2,221.69,216.59,217.75
7-Apr-18,213.75,218.71,212.4,215.52
31-Mar-18,218.05,220.31,209.47,212.25
24-Mar-18,217.86,221.86,214.73,219.52
17-Mar-18,236.01,237.22,215.27,215.36
11-Mar-18,242.1,243.1,233.85,237.22
4-Mar-18,230,241.37,228.53,241.35
25-Feb-18,239.01,244.86,226.33,230.37
18-Feb-18,234.54,237.89,232.1,237.02
Dividend,1.36,,,
11-Feb-18,227.49,238.44,226.1,236.67
4-Feb-18,243.5,244.4,218.18,225.21
28-Jan-18,258.51,259.34,244.88,245.17
21-Jan-18,247.13,259.77,245.08,258.63
14-Jan-18,245.3,249,243.83,248.18
7-Jan-18,239.38,246,239.18,244.47
31-Dec-17,235.78,240.9,232.81,240.57
24-Dec-17,235.08,237.31,234.84,235.37
17-Dec-17,238.58,240.01,234.28,234.73
10-Dec-17,239.19,241.68,236.12,238
3-Dec-17,243.05,244.23,236.97,238.13
26-Nov-17,231.75,243.63,231.13,241.15
Dividend,1.175,,,
19-Nov-17,229.9,235.71,229.55,231.38
12-Nov-17,226.73,229.99,226.04,229.36
4-Nov-17,232.22,232.63,226.16,227.45
28-Oct-17,233.66,233.66,229.11,232.22
21-Oct-17,221.76,238.9,221.2,234.74
14-Oct-17,217.7,221.32,216.47,221.32
7-Oct-17,215.96,219.76,214.66,217.72
30-Sep-17,210.73,217.61,210.03,216.52
23-Sep-17,210.98,212.83,208.16,209.9
16-Sep-17,214,214.65,208.31,210.76
9-Sep-17,206.46,214.12,206.09,213.35
2-Sep-17,202.25,206.12,200.51,205.69
26-Aug-17,202.78,204.91,201.33,203.56
Dividend,1.175,,,
19-Aug-17,203.8,205.86,201.96,202.13
12-Aug-17,206.66,208.63,203.45,203.53
5-Aug-17,207.9,208.4,205.18,205.98
29-Jul-17,200,208.61,199.81,207.65
22-Jul-17,211.2,211.66,197.17,199.72
15-Jul-17,212.2,213.41,209.48,211.16
8-Jul-17,209.6,212.78,208,211.77
1-Jul-17,209.14,210.34,207.89,209.59
24-Jun-17,212.79,213.47,207.08,208.19
17-Jun-17,214,214.57,211.71,212.9
10-Jun-17,206.93,213.46,205.5,213.24
3-Jun-17,206.77,207.33,204.09,206.93
27-May-17,200.31,207.39,199.96,206.7
20-May-17,196.35,200.69,196.35,200.67
Dividend,1.175,,,
13-May-17,196.67,197.94,193.54,195.8
6-May-17,198.84,199.36,195.26,196.57
29-Apr-17,195.5,199.9,194.47,199.4
22-Apr-17,193,197.12,192.36,195.83
15-Apr-17,189.31,192.11,189.29,191.5
8-Apr-17,190.16,190.52,188.62,188.65
1-Apr-17,191.87,192.42,189.5,189.99
25-Mar-17,190.7,192.4,189.16,191.33
18-Mar-17,192.52,193.5,190.46,191.51
12-Mar-17,191.77,192.36,189.11,192.36
5-Mar-17,188.93,191.24,188.25,191.21
26-Feb-17,187.5,190.54,186.31,189.31
19-Feb-17,182.79,188.41,182.04,187.41
Dividend,1.175,,,
12-Feb-17,179.86,183.6,179.26,182.95
5-Feb-17,174.12,179.58,173.9,179
29-Jan-17,177.25,177.73,173.55,175.04
22-Jan-17,177.91,178.99,174.42,177.48
15-Jan-17,177,179.8,176.25,178.49
8-Jan-17,178.37,178.45,175.75,177.39
1-Jan-17,178.83,180,175.8,178.23
