DWDP,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,56.2,56.91,55.92,56.43,56.43,"3,893,586"
18-Nov-18,59.03,59.64,55.77,56.43,56.43,"36,206,600"
11-Nov-18,58.72,59.42,57.08,59.19,59.19,"52,865,200"
3-Nov-18,58.05,60.45,57.21,58.68,58.68,"52,524,400"
27-Oct-18,52.83,59.51,51.43,57.73,57.73,"82,859,500"
20-Oct-18,57.78,57.94,51.32,52,52,"86,199,600"
13-Oct-18,59.69,60.59,57.19,57.49,57.49,"45,551,000"
6-Oct-18,63,63.48,58.81,59.66,59.66,"70,306,000"
29-Sep-18,64.77,65.76,62.89,63.19,63.19,"46,370,700"
22-Sep-18,69.43,69.62,64.11,64.31,64.31,"54,047,800"
15-Sep-18,68.58,70.66,67.57,69.69,69.69,"47,701,500"
8-Sep-18,70.33,70.56,68.42,68.58,68.58,"38,572,400"
1-Sep-18,69.75,70.8,69.02,70,70,"30,960,600"
Dividend,0.38,,,,,
25-Aug-18,69.67,71.93,69.54,70.13,69.76,"41,817,300"
18-Aug-18,68,69.68,67.84,69.21,68.84,"31,825,500"
11-Aug-18,67.68,68.08,65.7,67.79,67.43,"35,403,700"
4-Aug-18,66.35,69.5,66.29,67.74,67.38,"35,327,600"
28-Jul-18,68.28,69.11,65.13,66.82,66.46,"38,898,600"
21-Jul-18,65.88,68.92,65.49,68.37,68.01,"35,487,100"
14-Jul-18,66.53,67.59,64.8,65.82,65.47,"30,414,700"
7-Jul-18,66.27,68.14,65.76,66.36,66.01,"29,680,300"
30-Jun-18,65.53,66.72,64.76,65.93,65.58,"22,011,300"
23-Jun-18,66.37,67.5,64.61,65.92,65.57,"35,810,700"
16-Jun-18,67.17,67.96,64.97,67,66.64,"44,844,300"
9-Jun-18,69.53,70.03,66.96,67.75,67.39,"48,458,100"
2-Jun-18,66.5,70.4,66.39,69.49,69.12,"48,863,200"
Dividend,0.38,,,,,
26-May-18,65.05,66.55,63.53,66.17,65.43,"37,862,400"
19-May-18,68,68.78,65.41,65.71,64.97,"33,796,800"
12-May-18,67.19,68.65,66.51,67.57,66.81,"32,785,100"
5-May-18,64.5,67.7,63.75,66.93,66.18,"36,970,400"
28-Apr-18,64.73,65.49,61.78,64.47,63.75,"46,599,100"
21-Apr-18,65.87,66.18,62.34,64.32,63.6,"46,140,500"
14-Apr-18,66.69,68.36,65.61,66.04,65.3,"41,976,800"
7-Apr-18,64.01,67.35,63.47,66.17,65.43,"42,740,600"
31-Mar-18,63.57,65.61,61.27,63.71,62.99,"55,825,700"
24-Mar-18,63.74,65.5,62.31,63.71,62.99,"44,933,800"
17-Mar-18,67.77,68.56,62.96,63.06,62.35,"53,673,500"
11-Mar-18,72.24,73.23,67.38,67.96,67.2,"53,669,100"
4-Mar-18,67.98,72.27,67.53,72.23,71.42,"34,711,400"
Dividend,0.38,,,,,
25-Feb-18,73.42,74.12,67.65,68.43,67.31,"41,979,800"
18-Feb-18,71.6,73.37,70.92,73.26,72.07,"26,569,800"
11-Feb-18,70.2,72.94,69.9,71.95,70.78,"37,690,000"
4-Feb-18,70.19,72.14,66.19,69.48,68.35,"79,692,600"
28-Jan-18,77.02,77.06,70.64,70.89,69.73,"49,643,000"
21-Jan-18,75.79,77.08,75.26,77.02,75.76,"33,852,900"
14-Jan-18,75.76,76.65,74.34,76.01,74.77,"33,322,300"
7-Jan-18,75.34,76.34,73.9,75.41,74.18,"31,470,000"
31-Dec-17,71.57,75.54,71.4,75.42,74.19,"34,173,200"
24-Dec-17,72.11,72.17,70.89,71.22,70.06,"16,579,500"
17-Dec-17,70.46,72.35,70.24,72.11,70.93,"29,735,200"
10-Dec-17,71.27,71.41,69.86,70,68.86,"48,988,400"
3-Dec-17,71.72,73.2,70.32,70.73,69.58,"37,695,700"
26-Nov-17,71.03,72.83,70.02,71.01,69.85,"38,422,700"
19-Nov-17,70.66,71.78,70.53,71.16,70,"22,732,300"
Dividend,0.38,,,,,
12-Nov-17,69.44,71.21,68,70.74,69.21,"47,898,600"
4-Nov-17,71.4,71.73,69.74,69.97,68.46,"33,753,000"
28-Oct-17,72.32,73.58,70.86,71.16,69.62,"38,770,300"
21-Oct-17,71.95,73.85,70.93,72.54,70.97,"54,641,000"
14-Oct-17,71.8,71.81,70.29,71.18,69.64,"28,079,600"
7-Oct-17,71.2,71.88,70.92,71.43,69.89,"24,799,800"
30-Sep-17,69.4,71.23,69.15,71.22,69.68,"28,569,000"
23-Sep-17,70.07,70.48,67.77,69.23,67.73,"32,339,800"
16-Sep-17,70,70.5,69.62,69.96,68.45,"29,247,700"
9-Sep-17,65.25,70.7,65.2,69.86,68.35,"80,068,500"
2-Sep-17,67.02,67.17,64.01,64.85,63.45,"35,362,400"
26-Aug-17,64.72,67.3,63.75,67.18,65.73,"63,040,400"
19-Aug-17,63.5,65.18,63.17,64.54,63.15,"21,443,300"
12-Aug-17,63.53,64.02,62.83,63.4,62.03,"23,464,900"
5-Aug-17,64.15,64.21,62.52,63.26,61.89,"21,566,400"
29-Jul-17,65.97,66.03,63.24,64.11,62.72,"25,939,800"
Dividend,0.46,,,,,
22-Jul-17,66.08,67.5,65.22,65.68,63.82,"23,181,300"
15-Jul-17,66.25,66.89,65.59,66.14,64.26,"15,947,100"
8-Jul-17,63.89,66.48,63.54,66.24,64.36,"21,719,100"
1-Jul-17,63.42,64.24,62.84,63.89,62.08,"13,530,100"
Dividend,0.46,,,,,
24-Jun-17,63.54,63.96,62.5,63.07,60.83,"26,114,900"
17-Jun-17,64.66,65.47,63.29,63.47,61.22,"29,660,700"
10-Jun-17,64.74,65.42,63.18,64.39,62.11,"32,900,300"
3-Jun-17,63,64.9,62.85,64.74,62.44,"31,985,400"
27-May-17,60.76,63.43,60.56,63.05,60.81,"25,474,400"
20-May-17,61.81,61.9,60.39,61.06,58.89,"23,536,500"
13-May-17,62.34,62.96,59.29,61.29,59.12,"27,490,500"
6-May-17,62.84,62.94,60.6,62.04,59.84,"23,278,000"
29-Apr-17,63.16,63.22,61.22,63.09,60.85,"37,082,600"
22-Apr-17,62.63,64.91,62.39,62.8,60.57,"29,076,200"
15-Apr-17,61.15,62.5,60.87,62.16,59.96,"24,895,600"
8-Apr-17,63.16,63.44,61.03,61.06,58.89,"19,402,900"
1-Apr-17,63.57,64.43,62.3,63.19,60.95,"23,518,300"
Dividend,0.46,,,,,
25-Mar-17,62.62,65.42,62.32,63.54,60.85,"31,943,100"
18-Mar-17,63.95,64.73,61.97,63.08,60.41,"39,343,300"
12-Mar-17,63.88,64.5,63.46,64.03,61.32,"28,090,300"
5-Mar-17,63.21,64.05,62.81,63.84,61.14,"33,324,900"
26-Feb-17,63.2,63.67,61.97,63.26,60.58,"32,658,200"
19-Feb-17,61.23,64.36,61.04,63.55,60.86,"35,299,600"
12-Feb-17,61.22,61.85,60.5,61.26,58.67,"24,996,300"
5-Feb-17,60.03,61.3,59.5,61.19,58.6,"20,439,000"
29-Jan-17,60.84,60.92,59.21,60.21,57.66,"25,550,200"
22-Jan-17,57.38,61.73,56.85,61.31,58.72,"38,520,500"
15-Jan-17,57.52,58,56.76,57.38,54.95,"20,288,800"
8-Jan-17,57.4,59.08,57.16,57.8,55.36,"35,319,100"
1-Jan-17,57.2,58.27,56.52,57.44,55.01,"21,561,500"
