XOM,,,,
Date,Open,High,Low,Close*
23-Nov-18,76.05,76.2,74.7,75.49
18-Nov-18,78.46,79.36,74.7,75.49
11-Nov-18,81.66,81.73,75.91,78.96
Dividend,0.82,,,
3-Nov-18,82.5,83.75,79.69,80.87
27-Oct-18,78.07,82.45,76.22,81.95
20-Oct-18,82,82.18,76.96,77.53
13-Oct-18,81.38,82.47,80.01,81.97
6-Oct-18,84.79,86.88,80.27,81.38
29-Sep-18,85.35,86.89,84.93,85.34
22-Sep-18,85.79,87.36,84.99,85.02
15-Sep-18,83,85.43,82.99,85.17
8-Sep-18,82.24,83.78,81.63,82.92
1-Sep-18,80.41,81.93,79.6,81.83
25-Aug-18,79.91,81.04,79.77,80.17
18-Aug-18,78.26,80.05,78.17,79.62
11-Aug-18,79.45,79.75,76.51,78.26
Dividend,0.82,,,
4-Aug-18,80.25,81.59,78.86,79.42
28-Jul-18,82.13,82.15,79.45,80.2
21-Jul-18,81.95,84.4,80.81,81.92
14-Jul-18,82.52,82.79,81.25,81.4
7-Jul-18,82.81,84.12,82.03,83.31
30-Jun-18,81.89,83.45,81.32,82.33
23-Jun-18,80.78,83.54,79.3,82.73
16-Jun-18,80.4,81.94,79.33,81.38
9-Jun-18,83.72,83.79,80.51,80.66
2-Jun-18,82.05,83.66,80.41,83.6
26-May-18,78.15,82.35,77.53,81.83
19-May-18,81.73,82.65,78.09,78.71
12-May-18,81.7,82.32,81.17,81.3
Dividend,0.82,,,
5-May-18,77.74,81.97,76.37,81.28
28-Apr-18,77.91,78.56,75.4,76.9
21-Apr-18,78.92,80.9,76.48,77.79
14-Apr-18,78.12,79.82,77.71,79
7-Apr-18,75.22,78.19,74.8,77.84
31-Mar-18,74.27,76.32,72.16,74.87
24-Mar-18,73.65,74.89,72.75,74.61
17-Mar-18,75,75.64,72.67,72.89
11-Mar-18,74.87,75.82,73.53,75.12
4-Mar-18,75.23,76.98,73.56,74.56
25-Feb-18,77.74,79.87,74.48,75.55
18-Feb-18,76.47,77.62,74.87,77.53
11-Feb-18,77.05,77.62,75.17,76.54
Dividend,0.77,,,
4-Feb-18,83.28,83.99,73.9,75.78
28-Jan-18,88.59,89.3,83,84.53
21-Jan-18,87.17,89,87.05,89
14-Jan-18,87.74,88.21,86.6,87.15
7-Jan-18,86.7,87.99,85.93,87.52
31-Dec-17,83.82,87.22,83.66,86.75
24-Dec-17,83.96,84.36,83.64,83.64
17-Dec-17,83.18,84.27,82.33,83.97
10-Dec-17,83.04,83.38,82.48,83.03
3-Dec-17,83.21,84.18,82.17,82.66
26-Nov-17,81.32,84.13,81.02,83.46
19-Nov-17,80.23,81.7,80.01,81.42
12-Nov-17,82.65,83.09,80.15,80.24
Dividend,0.77,,,
4-Nov-17,83.3,84.14,82.42,82.94
28-Oct-17,83.71,83.95,82.91,83.18
21-Oct-17,83.15,84.24,82.01,83.71
14-Oct-17,82.7,83.39,82.33,83.11
7-Oct-17,81.84,83.08,81.76,82.41
30-Sep-17,81.3,82.24,81.25,81.71
23-Sep-17,80.03,82.45,79.98,81.98
16-Sep-17,79.79,80.66,79.67,79.92
9-Sep-17,79.41,80.23,78.9,80.07
2-Sep-17,76.64,79.33,76.61,78.82
26-Aug-17,76.9,76.94,76.05,76.57
19-Aug-17,76.47,77.33,76.08,76.72
12-Aug-17,78.62,78.79,76.05,76.64
Dividend,0.77,,,
5-Aug-17,80.17,80.35,78.2,78.21
29-Jul-17,79.83,80.82,79.6,80.21
22-Jul-17,80.06,81.05,78.27,79.6
15-Jul-17,81,81.49,80,80.12
8-Jul-17,80,81.52,79.96,81.28
1-Jul-17,80.79,82.49,79.81,80.22
24-Jun-17,81.57,81.84,80.41,80.73
17-Jun-17,83.49,83.49,80.76,81.61
10-Jun-17,82.13,83.69,81.56,83.49
3-Jun-17,79.44,82.14,79.4,82.13
27-May-17,81.28,81.34,79.26,79.5
20-May-17,82.11,82.89,80.83,81.55
13-May-17,83,83.23,81.42,81.93
Dividend,0.77,,,
6-May-17,82,83,81.65,82.55
29-Apr-17,81.51,83.07,81.4,82.02
22-Apr-17,81.28,82.49,80.81,81.65
15-Apr-17,81.85,81.97,80.3,80.69
8-Apr-17,83.12,83.47,81.57,81.69
1-Apr-17,82.02,83.55,81.33,82.76
25-Mar-17,80.82,83.87,80.79,82.01
18-Mar-17,81.72,82.35,81.15,81.23
12-Mar-17,81.5,82.26,80.44,82
5-Mar-17,82.44,83.29,80.31,81.61
26-Feb-17,81.13,84.25,80.81,82.46
19-Feb-17,82.12,82.22,80.76,81.08
12-Feb-17,82.77,83.42,81.44,81.76
Dividend,0.75,,,
5-Feb-17,83.55,83.65,81.17,82.52
29-Jan-17,85.42,85.45,82.54,83.54
22-Jan-17,85.68,85.88,84.75,85.51
15-Jan-17,86.58,87.41,84.59,85.89
8-Jan-17,88.22,88.22,85.86,86.35
1-Jan-17,90.94,91.34,87.82,88.5
