GS,,,,
Date,Open,High,Low,Close*
23-Nov-18,191.61,191.87,188.94,189.1
18-Nov-18,201.83,202.3,188.94,189.1
11-Nov-18,222,222.31,198.44,202.12
3-Nov-18,228.32,234.06,222.3,222.65
27-Oct-18,214.15,231.69,212.05,229.69
20-Oct-18,226.93,228.87,208.4,212.36
13-Oct-18,214.45,228.9,213.05,226.96
6-Oct-18,224.26,226.92,210.95,213.87
29-Sep-18,226.22,231.4,223.97,225.71
22-Sep-18,234.74,235.74,223.8,224.24
15-Sep-18,229.4,238.52,226.57,235.34
8-Sep-18,235.01,235.5,227.3,229.24
1-Sep-18,237.76,239.45,232.68,233.91
Dividend,0.8,,,
25-Aug-18,236.99,245.08,236.56,237.81
18-Aug-18,234.13,239.67,234.08,235.11
11-Aug-18,229.49,233.72,226.57,233.38
4-Aug-18,234.14,239.46,228.11,229.61
28-Jul-18,238,239.73,232.77,234.09
21-Jul-18,231.8,238.8,231.72,237.64
14-Jul-18,227.2,233.72,226.74,231.69
7-Jul-18,223.36,228.87,223,226.41
30-Jun-18,219.75,224.64,218.89,221.79
23-Jun-18,224.5,225.47,219.12,220.57
16-Jun-18,230.2,231.67,224.57,226.02
9-Jun-18,234.62,238.23,229.84,231.92
2-Jun-18,230.35,235.92,227.29,233.39
Dividend,0.8,,,
26-May-18,231.52,232.47,224.09,228.35
19-May-18,239.1,240.7,233.65,235.01
12-May-18,243.6,245.88,236.87,237
5-May-18,236,245.42,235.28,242.92
28-Apr-18,240.97,243.07,227.4,234.94
21-Apr-18,251.66,252.75,237.51,239.8
14-Apr-18,257.13,262.25,251.48,251.96
7-Apr-18,251.48,262.5,249.17,255.92
31-Mar-18,251.26,258,243.77,249.97
24-Mar-18,250.65,257.06,244.37,251.86
17-Mar-18,266.99,267.5,244.93,245.26
11-Mar-18,271,275.31,263.91,267.6
4-Mar-18,256.46,271.09,256.24,270.77
Dividend,0.75,,,
25-Feb-18,267.5,273.12,252.1,258.12
18-Feb-18,266.89,270,260.72,266.77
11-Feb-18,251.15,269.28,248.82,267.62
4-Feb-18,257.51,263.3,239.29,249.3
28-Jan-18,269.04,273.79,259.35,260.04
21-Jan-18,255.45,270.5,255.19,268.14
14-Jan-18,259.25,262,248.84,256.12
7-Jan-18,254.75,257.3,251.62,257.03
31-Dec-17,257.77,259.72,253.22,255.52
24-Dec-17,258.19,259.2,252.91,254.76
17-Dec-17,260,262.14,254.55,258.97
10-Dec-17,250,260.5,248.76,257.17
3-Dec-17,254.89,254.9,244.4,250.35
Dividend,0.75,,,
26-Nov-17,235.75,250.79,234.33,248.95
19-Nov-17,238.78,239.59,235.55,235.95
12-Nov-17,237.97,240.9,233.55,238.02
4-Nov-17,243.5,244.98,237.55,240.15
28-Oct-17,240.1,247.74,239.53,244.4
21-Oct-17,244.39,246.5,239.67,241.71
14-Oct-17,238.6,245.25,235.19,244.73
7-Oct-17,245.15,246.35,236.84,238.53
30-Sep-17,237.2,247.08,237.1,246.02
23-Sep-17,230.77,237.6,228.36,237.19
16-Sep-17,226.3,232.1,225.66,231.03
9-Sep-17,220.07,228.1,218.99,225.22
2-Sep-17,223.85,224,214.64,217.21
Dividend,0.75,,,
26-Aug-17,222.91,227.56,215.75,225.88
19-Aug-17,222.4,224.95,219.21,222.47
12-Aug-17,226.37,230.61,220.55,222.15
5-Aug-17,229.8,235.83,222.65,224.15
29-Jul-17,223.95,229.79,223.05,229.79
22-Jul-17,218.94,223.74,218,223.61
15-Jul-17,228.73,230.36,219.09,220.18
8-Jul-17,224.27,230.64,223.96,228.6
1-Jul-17,224.46,230.06,223.42,225.28
24-Jun-17,218.26,228.79,217.7,221.9
17-Jun-17,223.43,227.04,216.46,217.19
10-Jun-17,223.63,226.94,221.13,221.81
3-Jun-17,213.08,223.85,212.48,222.44
Dividend,0.75,,,
27-May-17,221.83,222.44,209.62,213.31
20-May-17,217.37,225.45,214.66,223.53
13-May-17,223.13,226.82,213.12,215.39
6-May-17,226.75,227.34,222.15,222.82
29-Apr-17,224.9,228.89,220.93,226.87
22-Apr-17,221.18,229.36,220.3,223.8
15-Apr-17,223.9,226.88,213.18,216.86
8-Apr-17,228,229.79,223.08,223.32
1-Apr-17,230,232.89,225.57,227.88
25-Mar-17,223.3,232,220.85,229.72
18-Mar-17,243.32,244.93,226.97,228.41
12-Mar-17,249.32,250.28,243.86,243.94
5-Mar-17,252.17,254.77,246.87,248.38
Dividend,0.65,,,
26-Feb-17,247.21,255.15,245.61,252.89
19-Feb-17,251,252.65,246.1,247.35
12-Feb-17,244.49,251.95,244.49,250.38
5-Feb-17,239.6,244.16,236.31,242.72
29-Jan-17,235.58,241.11,227.05,240.95
22-Jan-17,231.86,240.79,230.75,236.95
15-Jan-17,242.94,243.06,230.54,232.2
8-Jan-17,243.25,247.77,239.05,244.3
1-Jan-17,242.7,246.2,236.78,244.9
