HD,,,,
Date,Open,High,Low,Close*
23-Nov-18,169.39,170.33,168.47,168.85
18-Nov-18,176.71,178.88,167,168.85
11-Nov-18,185.23,186.95,172.85,177.02
3-Nov-18,181.02,188.69,179.3,185.99
27-Oct-18,173.74,183.01,170.95,179.93
20-Oct-18,180.82,182.37,170.91,172.23
13-Oct-18,192.36,194.08,178.57,179.85
6-Oct-18,196.24,199.24,188.47,192.47
29-Sep-18,208.52,209.79,194.57,196.38
22-Sep-18,211.52,211.84,205.67,207.15
15-Sep-18,209.08,212.67,208.16,212.39
8-Sep-18,208.13,215.43,207.55,209.07
1-Sep-18,200.69,207.23,200.5,206.23
Dividend,1.03,,,
25-Aug-18,202.83,202.95,199.1,200.77
18-Aug-18,195.84,203.55,195.4,201.3
11-Aug-18,196.3,197.59,191.09,195.56
4-Aug-18,195.62,199.74,195.11,196.3
28-Jul-18,196.53,198.03,193.55,195.64
21-Jul-18,202.46,204.25,196.68,197.14
14-Jul-18,199.14,203.76,197.89,202.45
7-Jul-18,195.7,199.93,195.03,198.69
30-Jun-18,193.82,195.71,192.12,194.48
23-Jun-18,197.41,198.83,193.51,195.1
16-Jun-18,198.94,201.2,197.17,197.41
9-Jun-18,198.91,201.6,198.16,200.54
2-Jun-18,188.22,198.5,187.97,198.33
30-May-18,1.03 Dividend,,,
26-May-18,185.55,188.83,184.01,187.35
19-May-18,188.2,190.78,184.67,186.85
12-May-18,191.5,191.65,184.87,187.42
5-May-18,185.4,190.8,182.5,190.31
28-Apr-18,186.99,187.8,181.2,185.03
21-Apr-18,177.62,187.04,174.55,186.46
14-Apr-18,174.23,180.25,173.32,177.01
7-Apr-18,175.06,175.51,171.8,172.8
31-Mar-18,177.15,180.04,170.42,174.45
24-Mar-18,174.11,178.73,173.52,178.24
17-Mar-18,178.65,180.14,171.56,171.8
11-Mar-18,182.43,183.06,175.89,178.96
Dividend,1.03,,,
4-Mar-18,177.86,183,176.73,182.16
25-Feb-18,189.17,189.79,176.34,178.46
18-Feb-18,189.9,191.44,182.86,188.35
11-Feb-18,186.55,187.99,180.89,186.97
4-Feb-18,190.07,194.52,175.42,184.12
28-Jan-18,207.23,207.61,191.57,193.97
21-Jan-18,201.6,207.31,201.51,207.23
14-Jan-18,197.86,201.33,195.7,201.33
7-Jan-18,191.72,199.42,191.4,196.42
31-Dec-17,190.21,192.54,187.82,192.5
24-Dec-17,188.53,191.49,188.34,189.53
17-Dec-17,183.5,188.84,183.5,188.13
10-Dec-17,181.86,184,181.12,182.58
3-Dec-17,183.19,186.31,178.68,183.41
Dividend,0.89,,,
26-Nov-17,172.87,180.67,172.38,180.42
19-Nov-17,168.14,173.1,167.8,172.33
12-Nov-17,164.64,168.43,163.15,167.74
4-Nov-17,164.8,164.88,162.28,164.11
28-Oct-17,166.99,166.99,160.53,164.39
21-Oct-17,164.04,167.94,163.75,167.34
14-Oct-17,164.47,164.92,161.51,163.43
7-Oct-17,166.14,166.63,164.35,164.47
30-Sep-17,164.2,166.63,163.22,165.85
23-Sep-17,160.05,163.61,159.75,163.56
16-Sep-17,159,160.09,157.16,159.97
9-Sep-17,158.42,161.38,156.22,158.4
2-Sep-17,151.71,160.69,151.7,159.66
Dividend,0.89,,,
26-Aug-17,151.94,152.39,149.03,150.78
19-Aug-17,147.1,150.6,146.89,149.65
12-Aug-17,156.04,156.05,146.96,147.49
5-Aug-17,152.83,155.98,152.47,154.88
29-Jul-17,148,152.75,147.54,152.75
22-Jul-17,146.61,148.27,144.25,148.08
15-Jul-17,152.9,154.5,145.61,146.65
8-Jul-17,152.22,154.13,150.5,152.88
1-Jul-17,154.39,154.79,151.22,152.23
24-Jun-17,151.67,154,150.75,153.4
17-Jun-17,156.91,159.22,150.91,151.31
10-Jun-17,152.8,157.28,151.73,156.64
3-Jun-17,155.53,155.62,152.78,152.96
Dividend,0.89,,,
27-May-17,154,155.86,152.74,155.35
20-May-17,156.49,157,153.29,154.9
13-May-17,157.28,160.86,155.24,156.3
6-May-17,155.85,158.15,155.33,156.92
29-Apr-17,156.22,156.27,153.76,155.73
22-Apr-17,151.08,156.27,150.85,156.1
15-Apr-17,145.9,150.15,145.76,150
8-Apr-17,146.96,149,145.87,145.91
1-Apr-17,146.94,148.44,146.05,147.13
25-Mar-17,147.07,147.68,145.94,146.83
18-Mar-17,149.38,150.15,146.06,147.71
12-Mar-17,147.33,149.99,146.46,149.6
Dividend,0.89,,,
5-Mar-17,147.13,147.51,145.83,146.85
26-Feb-17,145.87,148.26,144.47,147.81
19-Feb-17,145.6,146.33,143.25,145.95
12-Feb-17,140.48,143.12,139.05,143
5-Feb-17,137.43,140.57,136.33,139.85
29-Jan-17,137.99,138.62,136.53,137.98
22-Jan-17,135.31,139.37,135,138.33
15-Jan-17,135.09,136.78,134.6,135.6
8-Jan-17,133.22,136.39,133.14,135.04
1-Jan-17,135.1,135.94,133.05,133.53
