IBM,,,,
Date,Open,High,Low,Close*
23-Nov-18,118.09,118.34,116.91,117.19
18-Nov-18,121.63,122.18,116.7,117.19
11-Nov-18,123.5,123.57,119.51,121.57
Dividend,1.57,,,
3-Nov-18,116.1,125.06,116,123.54
27-Oct-18,119.34,123.95,114.09,115.67
20-Oct-18,129.58,131.9,123.71,124.79
13-Oct-18,140.38,145.45,127.96,129.1
6-Oct-18,148.5,149.07,138.78,140.85
29-Sep-18,151.71,154.36,147.87,149.03
22-Sep-18,151.1,153.35,148.36,151.21
15-Sep-18,148.44,152.6,147.47,151.35
8-Sep-18,146.6,149.3,145.25,148.33
1-Sep-18,145.98,147.66,144.81,145.45
25-Aug-18,146.94,147.93,145.25,146.48
18-Aug-18,146.37,147.16,144.75,146.04
11-Aug-18,144.15,146.39,142,146.06
Dividend,1.57,,,
4-Aug-18,146.95,147.64,143.88,144.48
28-Jul-18,144.8,147.92,142.33,147.7
21-Jul-18,146.35,149.27,144.66,145.15
14-Jul-18,145.67,150.54,142.74,146.35
7-Jul-18,142.59,146.98,142.47,145.9
30-Jun-18,138.28,142.94,138.2,142.48
23-Jun-18,140.4,141.36,137.45,139.7
16-Jun-18,144.18,144.52,140.78,141.28
9-Jun-18,146.62,147.52,143.7,145.39
2-Jun-18,142.3,146.7,142.18,146.14
26-May-18,142.53,143.1,140.21,141.95
19-May-18,144.95,146.2,142.95,143.64
12-May-18,144.47,145.19,142.92,144.08
Dividend,1.57,,,
5-May-18,144,144.85,141.28,144.14
28-Apr-18,146.86,147.38,139.9,143.91
21-Apr-18,145.03,147.36,144.11,146.48
14-Apr-18,157.99,162,144.51,144.9
7-Apr-18,151.8,159.22,151.74,156.71
31-Mar-18,153.34,154.92,147.45,150.57
24-Mar-18,151.21,154.87,150.28,153.43
17-Mar-18,159.71,159.89,148.54,148.89
11-Mar-18,159.64,162.11,157.74,160.26
4-Mar-18,154.12,159.58,153.75,159.31
25-Feb-18,155.81,159.78,151.88,154.49
18-Feb-18,155.79,156.79,152.79,155.52
11-Feb-18,150.9,157.79,149.64,156.18
Dividend,1.5,,,
4-Feb-18,157.89,158.5,144.4,149.51
28-Jan-18,167.45,168.39,158.87,159.03
21-Jan-18,161.51,168.72,161.11,167.34
14-Jan-18,165.1,171.13,161.3,162.37
7-Jan-18,162.66,164.94,161.7,163.14
31-Dec-17,154.5,162.9,153.54,162.49
24-Dec-17,152.51,154.72,152.5,153.42
17-Dec-17,153.59,154.18,151.49,152.5
10-Dec-17,155.46,157.85,152.03,152.5
3-Dec-17,155.96,156.8,153.26,154.81
26-Nov-17,152.06,155.02,151.62,154.76
19-Nov-17,150.64,152.45,149.9,151.84
12-Nov-17,148.88,150.15,146.21,148.97
Dividend,1.5,,,
4-Nov-17,151.77,151.82,149.14,149.16
28-Oct-17,153.76,154.93,151.49,151.58
21-Oct-17,162.05,162.51,152.91,153.68
14-Oct-17,147.22,162.48,146.18,162.07
7-Oct-17,146.5,148.95,146.35,147.1
30-Sep-17,145.35,147.54,145.21,146.48
23-Sep-17,145.12,147.42,144.21,145.08
16-Sep-17,144.81,145.89,144.22,145.13
9-Sep-17,143.54,146.38,143.01,144.82
2-Sep-17,143.5,144.64,141.64,142.45
26-Aug-17,144.11,144.56,141.9,144.08
19-Aug-17,139.59,144.19,139.13,143.74
12-Aug-17,142,143.34,139.58,139.7
Dividend,1.5,,,
5-Aug-17,145,145.09,141.19,141.84
29-Jul-17,144.38,145.67,144.17,145.16
22-Jul-17,147,147.49,143.64,144.29
15-Jul-17,153.59,154.29,146.51,147.08
8-Jul-17,152.91,154.62,152.05,154.24
1-Jul-17,153.58,156.03,152.14,152.94
24-Jun-17,154.71,155.75,153.14,153.83
17-Jun-17,155.51,155.86,153.39,154.11
10-Jun-17,154.19,157.2,152.94,155.38
3-Jun-17,151.82,154.26,150.8,154.1
27-May-17,151.95,153.2,151.59,152.05
20-May-17,152.1,153.73,151.23,152.49
13-May-17,150.62,154.14,150.11,151.98
Dividend,1.5,,,
6-May-17,152.8,153.47,149.79,150.37
29-Apr-17,160.05,160.42,153,155.05
22-Apr-17,161.29,162.04,159.63,160.29
15-Apr-17,169.75,171.69,159.6,160.38
8-Apr-17,172.53,172.56,168.98,169.53
1-Apr-17,173.82,176.33,171.28,172.14
25-Mar-17,172.69,175,172.09,174.14
18-Mar-17,175.65,176.23,172.8,173.83
12-Mar-17,177.85,179,174.75,175.65
5-Mar-17,179.72,181.29,175.88,177.83
26-Feb-17,181.19,182.55,179.28,180.05
19-Feb-17,180.6,182.5,179.12,181.35
12-Feb-17,179.24,182.79,178.35,180.67
Dividend,1.4,,,
5-Feb-17,175.31,178.87,174.38,178.68
29-Jan-17,176.98,177.07,172.89,175.82
22-Jan-17,170.08,179.25,170.01,177.3
15-Jan-17,166.69,170.64,165.8,170.55
8-Jan-17,169.47,169.8,165.34,167.34
1-Jan-17,167,169.92,166.01,169.53
