INTC,,,,
Date,Open,High,Low,Close*
23-Nov-18,46.69,47.06,46.52,46.54
18-Nov-18,48.61,49.15,46.52,46.54
11-Nov-18,47.71,49.05,46.6,48.83
6-Nov-18,0.3 Dividend,,,
3-Nov-18,47.34,49.29,46.92,48.11
27-Oct-18,46.5,48.56,44.44,47.11
20-Oct-18,44.5,46.44,42.36,45.69
13-Oct-18,44.63,46.33,43.86,44
6-Oct-18,46.96,47.62,43.73,44.88
29-Sep-18,46.79,49.72,46.2,47.03
22-Sep-18,46.31,47.75,45.46,47.29
15-Sep-18,45.29,47.42,45.19,46.66
8-Sep-18,46.56,46.76,44.06,45.54
1-Sep-18,48.38,48.43,46.36,46.45
25-Aug-18,48,48.86,47.63,48.43
18-Aug-18,47.05,47.89,46.19,47.66
11-Aug-18,48.92,49.24,46.33,47.1
6-Aug-18,0.3 Dividend,,,
4-Aug-18,48.77,50.6,48.3,48.85
28-Jul-18,47.63,49.78,46.43,49.63
21-Jul-18,51.77,53.3,47.48,47.68
14-Jul-18,52.15,52.32,51.01,51.91
7-Jul-18,51.64,52.48,51,52.22
30-Jun-18,49.04,51.5,48.83,51.37
23-Jun-18,51.17,51.75,48.5,49.71
16-Jun-18,54.3,54.53,51.88,52.5
9-Jun-18,54.8,55.86,54.22,55.11
2-Jun-18,57.01,57.6,54.66,55.05
26-May-18,55.12,57.1,54.81,57.08
19-May-18,54.36,55.5,53.84,55.44
12-May-18,54.77,55.44,53.47,53.5
5-May-18,52.86,55.19,52.8,54.67
4-May-18,0.3 Dividend,,,
28-Apr-18,52.56,53.42,51,52.78
21-Apr-18,51.69,55.79,50.6,52.73
14-Apr-18,52.29,54.36,50.88,51.53
7-Apr-18,49.16,53.27,49.16,51.86
31-Mar-18,51.69,52.04,47.29,48.79
24-Mar-18,50.74,53.25,49.01,52.08
17-Mar-18,50.74,52.17,49.36,49.36
11-Mar-18,51.86,53.78,50.5,51.17
4-Mar-18,48.57,52.3,48.04,52.19
25-Feb-18,48.2,50.9,46.96,48.98
18-Feb-18,45.46,47.79,45.39,47.73
11-Feb-18,44.15,46.59,44.04,45.56
6-Feb-18,0.3 Dividend,,,
4-Feb-18,46.35,47.26,42.04,43.95
28-Jan-18,49.6,50.85,46.1,46.15
21-Jan-18,44.8,50.15,44.79,50.08
14-Jan-18,43.55,44.89,42.89,44.82
7-Jan-18,44.27,44.84,42.44,43.24
31-Dec-17,46.38,46.9,42.69,44.74
24-Dec-17,46.28,46.49,45.95,46.16
17-Dec-17,45.15,47.64,45.04,46.7
10-Dec-17,43.28,44.84,43.02,44.56
3-Dec-17,45.02,45.3,42.67,43.35
26-Nov-17,44.42,45.2,43.53,44.68
19-Nov-17,44.73,45.22,44.43,44.75
12-Nov-17,45.26,46.07,44.62,44.63
6-Nov-17,0.2725 Dividend,,,
4-Nov-17,46.6,47.09,45.38,45.58
28-Oct-17,44.48,47.3,43.88,46.34
21-Oct-17,40.55,45,40.4,44.4
14-Oct-17,39.71,40.45,39.37,40.43
7-Oct-17,39.68,39.95,38.98,39.67
30-Sep-17,38.12,39.89,38.08,39.63
23-Sep-17,37.05,38.15,36.85,38.08
16-Sep-17,37,37.33,36.66,37.18
9-Sep-17,35.49,37.08,35.14,37
2-Sep-17,35.02,35.95,34.93,35.19
26-Aug-17,34.78,35.39,34.46,35.09
19-Aug-17,35.09,35.28,34.38,34.67
12-Aug-17,36.12,36.47,34.99,35.01
5-Aug-17,36.39,36.7,35.79,35.87
3-Aug-17,0.2725 Dividend,,,
29-Jul-17,35.47,36.67,35.32,36.3
22-Jul-17,34.73,35.86,34.38,35.31
15-Jul-17,34.74,34.84,34.25,34.73
8-Jul-17,33.25,34.71,33.23,34.68
1-Jul-17,33.51,34.43,33.43,33.88
24-Jun-17,34.26,34.51,33.34,33.74
17-Jun-17,35.61,35.61,34.09,34.19
10-Jun-17,35.59,36.05,35.01,35.21
3-Jun-17,36.3,36.57,35.31,35.71
27-May-17,36.27,36.44,35.8,36.32
20-May-17,35.48,36.39,35.38,36.26
13-May-17,35.53,35.99,35.02,35.4
6-May-17,36.73,36.85,35.4,35.53
3-May-17,0.2725 Dividend,,,
29-Apr-17,36.11,37.17,35.94,36.82
22-Apr-17,36.67,37.5,35.88,36.15
15-Apr-17,35.44,36.42,35.3,36.32
8-Apr-17,36.02,36.09,35.21,35.25
1-Apr-17,36.19,36.76,35.99,36.03
25-Mar-17,35.07,36.25,34.94,36.07
18-Mar-17,35.37,35.73,35,35.16
12-Mar-17,35.85,36.04,34.66,35.27
5-Mar-17,35.79,36.3,35.39,35.91
26-Feb-17,36.42,36.68,35.44,35.9
19-Feb-17,36.53,36.65,35.79,36.53
12-Feb-17,35.57,36.56,35.34,36.48
5-Feb-17,36.51,36.65,34.84,35.34
3-Feb-17,0.26 Dividend,,,
29-Jan-17,37.74,37.84,36.02,36.52
22-Jan-17,37.07,38.45,36.55,37.98
15-Jan-17,36.67,37.03,36.51,36.94
8-Jan-17,36.48,37,36.32,36.79
1-Jan-17,36.61,36.93,36.19,36.48
