JPM,,,,
Date,Open,High,Low,Close*
23-Nov-18,106.74,107.39,106.06,106.65
18-Nov-18,109.96,111.2,106.06,106.65
11-Nov-18,111.42,111.94,105.98,109.99
3-Nov-18,108.61,112.93,107.76,111.29
27-Oct-18,104.46,110.81,103.7,108.38
20-Oct-18,108.15,108.34,102.73,103.42
13-Oct-18,107.2,110.8,106.32,107.91
6-Oct-18,114.25,115.78,105.6,106.95
Dividend,0.8,,,
29-Sep-18,113.37,116.81,112.81,114.62
22-Sep-18,117.76,118.46,112.52,112.84
15-Sep-18,113.79,119.24,113.3,117.85
8-Sep-18,114.85,114.97,112.67,113.5
1-Sep-18,114.34,115.7,113.5,114.32
25-Aug-18,115.22,117.28,113.82,114.58
18-Aug-18,114.59,116.39,114.11,114.68
11-Aug-18,115.56,115.88,112.97,114.77
4-Aug-18,116.79,118.29,114.68,115.73
28-Jul-18,116.28,117.61,114.33,117.09
21-Jul-18,111.06,116.3,110.93,116.03
14-Jul-18,107.05,112.12,106.98,111.28
7-Jul-18,104.71,108.4,104.71,106.36
Dividend,0.56,,,
30-Jun-18,103.72,105.78,102.2,104.06
23-Jun-18,105.66,106.9,103.11,104.2
16-Jun-18,107.26,108.64,105.51,105.75
9-Jun-18,111.12,111.91,106.27,107.9
2-Jun-18,108.99,111.5,107.07,111.11
26-May-18,109.18,109.2,104.96,108.4
19-May-18,112.05,114.29,110.12,110.66
12-May-18,114.11,114.7,110.84,111.13
5-May-18,108.76,114.73,108.36,113.86
28-Apr-18,109.75,110.3,105.18,108.43
21-Apr-18,111.57,112.9,108.6,109.4
14-Apr-18,110.94,112.74,108.89,111.47
7-Apr-18,110.01,115.15,109.05,110.3
Dividend,0.56,,,
31-Mar-18,109.96,112.83,106.08,109.09
24-Mar-18,109.19,111.69,106.65,109.97
17-Mar-18,115.1,116.63,106.76,107.01
11-Mar-18,118,118.75,114.6,115.44
4-Mar-18,112.05,118.08,111.89,118.04
25-Feb-18,118.14,119.33,111.12,113.32
18-Feb-18,114.65,117.45,113.97,117.31
11-Feb-18,111.17,116.07,110.07,114.68
4-Feb-18,113,114.59,103.98,110.04
28-Jan-18,116.02,117.35,114.09,114.28
21-Jan-18,112.66,116.32,112.5,116.32
14-Jan-18,111.51,114.34,111.07,113.01
7-Jan-18,108.15,112.85,107.7,112.67
Dividend,0.56,,,
31-Dec-17,107.63,110.03,106.81,108.34
24-Dec-17,107.2,108.28,106.4,106.94
17-Dec-17,107.19,108.46,106.09,107.45
10-Dec-17,105.72,107.37,104.64,106.14
3-Dec-17,107.73,108.4,103.73,105.93
26-Nov-17,98.31,106.66,97.93,104.79
19-Nov-17,98.45,99.55,97.76,98.32
12-Nov-17,96.69,99.06,95.95,98.14
4-Nov-17,101.34,101.69,96.81,97.51
28-Oct-17,101.13,101.93,100.16,101.41
21-Oct-17,99.51,102.42,99.24,101.77
14-Oct-17,96.34,99.89,96.34,99.51
7-Oct-17,96.96,97.5,94.96,95.86
Dividend,0.56,,,
30-Sep-17,95.77,97.64,95.46,96.92
23-Sep-17,94.51,95.88,93.34,95.51
16-Sep-17,91.93,95.37,91.85,94.83
9-Sep-17,89.39,91.71,88.95,91.62
2-Sep-17,91.02,91.11,88.08,88.42
26-Aug-17,92.16,92.36,90.31,91.7
19-Aug-17,90.85,92.48,90.16,91.89
12-Aug-17,92.37,93.56,90.19,90.74
5-Aug-17,93.89,95.22,91.24,91.42
29-Jul-17,91.51,94.4,91.5,93.66
22-Jul-17,90.96,93.52,90.91,91.28
15-Jul-17,91.82,91.99,90.32,90.89
8-Jul-17,93.5,93.68,90.58,92.25
Dividend,0.5,,,
1-Jul-17,91.56,94.51,91.41,93.85
24-Jun-17,87.01,92.65,86.62,91.4
17-Jun-17,86.97,88.23,86.61,86.86
10-Jun-17,86.96,87.85,85.82,86.18
3-Jun-17,82.64,87.05,82.13,86.96
27-May-17,85.13,85.15,81.64,82.64
20-May-17,85.18,86.08,84.21,85.36
13-May-17,87.1,88.09,83.36,84.78
6-May-17,87.04,87.84,86.34,86.92
29-Apr-17,87.36,87.74,86.02,87
22-Apr-17,86.55,89.13,86.42,87
15-Apr-17,84.44,86.08,84.36,84.52
8-Apr-17,86.08,86.99,84.4,84.4
Dividend,0.5,,,
Dividend,0.5,,,
1-Apr-17,87.99,88.54,85.25,86.18
25-Mar-17,85.53,89.46,85.23,87.84
18-Mar-17,90.27,91.17,86.01,87.29
12-Mar-17,91.31,92.81,90.65,90.68
5-Mar-17,92.25,92.85,90.53,91.28
26-Feb-17,90.32,93.98,89.59,92.8
19-Feb-17,90.51,91.34,89.73,90.33
12-Feb-17,87.44,91.04,87.43,90.23
5-Feb-17,86.79,87.48,85.37,87
29-Jan-17,86.19,87.31,84.09,87.18
22-Jan-17,83.3,86.98,83.21,86.93
15-Jan-17,84.93,85.22,83.03,83.67
8-Jan-17,85.73,88.17,85.52,86.7
Dividend,0.48,,,
1-Jan-17,87.34,87.76,85.26,86.12
