MCD,,,,
Date,Open,High,Low,Close*
23-Nov-18,182.52,183,181.07,181.93
18-Nov-18,187.74,188.9,181.07,181.93
11-Nov-18,185.95,187.77,181.52,187.59
3-Nov-18,177.41,186.58,177,185.94
27-Oct-18,175,178.96,172.22,176.75
20-Oct-18,167.98,178.27,166.19,173.34
13-Oct-18,164.69,168.15,162.9,167.49
6-Oct-18,166.25,172,161.82,163.82
29-Sep-18,168.37,168.95,164.37,166.57
22-Sep-18,163.9,167.83,161.12,167.29
15-Sep-18,159.55,165.3,156.56,165.3
8-Sep-18,164.48,166.02,160.25,160.84
1-Sep-18,161.81,164.3,160.07,163.9
Dividend,1.01,,,
25-Aug-18,160.23,163.34,159.2,162.23
18-Aug-18,161.29,162.16,158.3,159.38
11-Aug-18,158.48,162.28,157.25,161.15
4-Aug-18,156.03,159.62,155.46,158.68
28-Jul-18,157.39,160.02,153.13,156.21
21-Jul-18,157.8,159.58,154.71,157.48
14-Jul-18,158.62,160,156.28,157.97
7-Jul-18,160.47,160.98,155.28,158.51
30-Jun-18,155.99,160.57,155.45,159.42
23-Jun-18,163,163,155.1,156.69
16-Jun-18,165.53,166.58,159.54,164.55
9-Jun-18,169.04,169.04,164.59,166.46
2-Jun-18,160.08,171.56,158.98,168.91
Dividend,1.01,,,
26-May-18,162.43,162.72,159.02,159.16
19-May-18,161.78,163.95,159.16,163.21
12-May-18,165.65,165.98,160.55,160.98
5-May-18,166.77,167.3,163.05,165.39
28-Apr-18,164.69,167.95,159.08,165.03
21-Apr-18,158.97,159.85,155.01,158.3
14-Apr-18,161.3,163.48,158.51,158.77
7-Apr-18,162.22,165.4,161.06,161.73
31-Mar-18,158.27,164.56,155.25,161.25
24-Mar-18,156.21,159.83,156.21,156.38
17-Mar-18,162,162.36,154.92,154.98
11-Mar-18,157.74,163.23,157.24,162.36
4-Mar-18,148.28,157.73,147.92,157.24
Dividend,1.01,,,
25-Feb-18,164,164.75,146.84,148.27
18-Feb-18,157,163.31,156.28,163.06
11-Feb-18,162.37,165.89,157.76,157.79
4-Feb-18,168.61,169.46,153.86,160.8
28-Jan-18,178.3,178.7,168.89,169.38
21-Jan-18,175.97,178.4,174.66,178.36
14-Jan-18,173.62,176.64,172.88,176.12
7-Jan-18,173.74,174.55,172.1,173.57
31-Dec-17,173.73,175,172,174.05
24-Dec-17,171.09,173.55,170.82,172.12
17-Dec-17,174.87,175.78,170.55,171.42
10-Dec-17,172.94,175.09,171.85,174.06
3-Dec-17,173.27,174.44,170.43,173.15
Dividend,1.01,,,
26-Nov-17,168.9,173.17,168.09,172.87
19-Nov-17,167.33,170.35,166.76,169.11
12-Nov-17,165.47,168.89,165.08,166.72
4-Nov-17,168.9,170.92,163.52,165.59
28-Oct-17,165,169.45,164.67,168.65
21-Oct-17,166.1,166.49,163,165.39
14-Oct-17,165.44,167.9,163.89,166.3
7-Oct-17,159.61,165.51,159.5,165.37
30-Sep-17,156,160.13,155.8,159.6
23-Sep-17,158.47,158.69,153.27,156.68
16-Sep-17,157.72,160.09,156.33,158.91
9-Sep-17,160,161.72,155.77,156.92
2-Sep-17,159,160.38,158.07,159.71
Dividend,0.94,,,
26-Aug-17,159.04,160.2,158.32,159.81
19-Aug-17,158.17,159.94,157.54,158.82
12-Aug-17,157.45,159.53,156.46,157.76
5-Aug-17,154.14,158.4,154,157.3
29-Jul-17,155.92,156.77,153.23,153.82
22-Jul-17,154,159.98,151.77,155.85
15-Jul-17,155.43,155.44,153.29,153.92
8-Jul-17,156.28,156.75,154.01,155.28
1-Jul-17,153.44,156.56,151.99,156.27
24-Jun-17,155.18,155.46,152.15,153.16
17-Jun-17,152.39,155.45,151.84,154.64
10-Jun-17,151.48,152.89,148.04,151.99
3-Jun-17,153.63,153.66,150.73,151.48
Dividend,0.94,,,
27-May-17,149.95,153.9,149.52,153.74
20-May-17,148.3,150.24,147,149.86
13-May-17,145.43,148.83,145.43,148.15
6-May-17,143.93,145.5,143.4,145.36
29-Apr-17,139.86,143.98,139.84,143.96
22-Apr-17,134.24,142.79,133.26,139.93
15-Apr-17,131.25,133.88,130.91,133.41
8-Apr-17,129.95,131.56,129.52,130.76
1-Apr-17,129.5,131.58,128.65,129.96
25-Mar-17,129.08,130.19,128.6,129.61
18-Mar-17,128.99,129.75,128.18,129.34
12-Mar-17,128.01,129.98,127.35,128.64
5-Mar-17,127.9,128.72,127.34,127.98
Dividend,0.94,,,
26-Feb-17,127.68,130,126.58,127.9
19-Feb-17,127.16,128.9,126.4,128.65
12-Feb-17,126.02,127.88,125.27,127.8
5-Feb-17,124.09,126.11,123.95,125.82
29-Jan-17,122.81,124.51,121.7,124.24
22-Jan-17,121.69,122.99,119.82,122.86
15-Jan-17,120.75,123,120.7,122.26
8-Jan-17,120.76,122.31,119.73,121.5
1-Jan-17,121.86,122,118.18,120.76
