MRK,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,74.13,75.3,74.01,74.67,74.67,"3,521,792"
18-Nov-18,76.22,76.61,74.01,74.67,74.67,"42,586,500"
11-Nov-18,75.13,76.25,73.13,76.06,76.06,"65,015,100"
3-Nov-18,71.96,75.99,70.12,74.86,74.86,"68,913,600"
27-Oct-18,71.37,74.49,70.55,72.27,72.27,"80,381,900"
20-Oct-18,72.97,73.49,66.1,70.4,70.4,"75,638,500"
13-Oct-18,69.19,72.66,68.93,72.35,72.35,"52,893,800"
6-Oct-18,70.93,72.89,67.82,69.81,69.81,"52,413,200"
29-Sep-18,71.07,72.42,70.46,71.03,71.03,"45,375,900"
22-Sep-18,70.92,71.38,70.08,70.94,70.94,"32,662,600"
15-Sep-18,69.85,71.58,69.64,71.1,71.1,"44,615,700"
Dividend,0.48,,,,,
8-Sep-18,70,70.94,69.07,69.98,69.51,"36,867,600"
1-Sep-18,68.37,69.78,67.91,69.67,69.2,"31,280,000"
25-Aug-18,69.34,69.43,68.16,68.59,68.13,"26,995,800"
18-Aug-18,69,70.25,68.74,69.04,68.57,"36,624,100"
11-Aug-18,66.13,69.24,66.07,69.06,68.59,"53,182,300"
4-Aug-18,66.09,66.99,65.68,66.07,65.62,"37,390,400"
28-Jul-18,63.79,66.14,63.53,65.93,65.48,"46,586,700"
21-Jul-18,62.57,65.2,62.38,63.49,63.06,"46,482,500"
14-Jul-18,62.93,62.98,62.01,62.52,62.1,"30,061,000"
7-Jul-18,62.46,63.04,61.59,62.89,62.46,"40,244,300"
30-Jun-18,60.55,62.51,59.92,62.2,61.78,"31,214,900"
23-Jun-18,61.41,61.62,59.8,60.7,60.29,"57,468,000"
16-Jun-18,61.35,61.92,60.59,61.47,61.05,"52,930,800"
Dividend,0.48,,,,,
9-Jun-18,62.77,62.96,61.22,62.03,61.14,"52,957,400"
2-Jun-18,61.55,62.65,61.06,62.58,61.68,"56,330,200"
26-May-18,58.58,60.81,58.03,60.56,59.69,"42,910,700"
19-May-18,59.18,59.49,58.39,59.09,58.24,"40,490,000"
12-May-18,59.77,60.08,57.49,59.14,58.29,"42,372,000"
5-May-18,57.77,59.97,56.26,59.69,58.83,"49,538,300"
28-Apr-18,59.65,59.98,56.37,57.75,56.92,"56,702,100"
21-Apr-18,60.05,61,58.93,59.47,58.61,"67,730,700"
14-Apr-18,57.77,59.96,57.17,58.83,57.98,"69,302,800"
7-Apr-18,55,57.42,54.56,57.17,56.35,"67,107,200"
31-Mar-18,54.4,55.38,52.83,53.36,52.59,"56,521,900"
24-Mar-18,54.05,55.41,52.97,54.47,53.69,"48,594,100"
17-Mar-18,55.66,55.68,53.34,53.41,52.64,"54,228,600"
Dividend,0.48,,,,,
11-Mar-18,55.73,56.13,54.31,55.67,54.39,"64,698,700"
4-Mar-18,54.24,55.19,53.75,55.14,53.88,"50,785,400"
25-Feb-18,55,56.19,53.12,54.36,53.11,"54,648,200"
18-Feb-18,56.12,56.14,54.42,54.87,53.61,"44,076,800"
11-Feb-18,55.35,56.99,54.22,56.29,55,"62,969,500"
4-Feb-18,58.27,58.95,53.36,54.87,53.61,"103,754,900"
28-Jan-18,61.95,62.14,58.28,58.56,57.22,"62,318,700"
21-Jan-18,60.95,62.13,60.72,62.04,60.62,"56,867,100"
14-Jan-18,61.75,63.78,60.63,61.28,59.87,"101,277,200"
7-Jan-18,57.21,58.81,56.46,58.66,57.31,"50,252,800"
31-Dec-17,56.59,57.42,55.96,56.99,55.68,"45,184,800"
24-Dec-17,56.49,56.99,56.26,56.27,54.98,"24,285,700"
17-Dec-17,56.38,56.83,55.98,56.36,55.07,"55,505,800"
Dividend,0.48,,,,,
10-Dec-17,56.34,57.37,55.56,56.24,54.49,"69,623,400"
3-Dec-17,55.93,56.71,54.19,55.57,53.84,"72,407,000"
26-Nov-17,54.41,55.98,54.2,55.87,54.13,"60,901,400"
19-Nov-17,54.04,54.85,53.63,54.35,52.66,"42,607,500"
12-Nov-17,55.31,55.52,54.4,55.2,53.48,"59,801,900"
4-Nov-17,56.04,56.72,55.15,55.48,53.75,"69,056,500"
28-Oct-17,55.75,56.28,54.41,56.06,54.31,"95,966,300"
21-Oct-17,64.03,64.52,57.82,58.24,56.42,"73,125,400"
14-Oct-17,63.49,64.11,62.88,63.88,61.89,"42,740,000"
7-Oct-17,64.67,64.74,63.38,63.39,61.41,"33,973,800"
30-Sep-17,64.21,64.9,63.78,64.55,62.54,"36,303,600"
23-Sep-17,65.16,65.4,63.33,64.03,62.03,"37,713,900"
16-Sep-17,66.02,66.41,65.07,65.13,63.1,"40,437,100"
Dividend,0.47,,,,,
9-Sep-17,64.94,66.38,64.68,66.16,63.64,"47,919,400"
2-Sep-17,63.75,64.53,63.46,64.27,61.82,"28,607,100"
26-Aug-17,63.11,64.1,62.72,63.83,61.4,"38,173,500"
19-Aug-17,61.48,63.29,61.43,62.94,60.54,"32,172,300"
12-Aug-17,62.91,63.03,61.16,61.49,59.15,"35,416,100"
5-Aug-17,62.95,63.09,62.17,62.38,60,"34,745,300"
29-Jul-17,64.25,64.31,62.94,63.1,60.69,"37,600,500"
22-Jul-17,62.54,64.55,61.72,64.11,61.67,"58,294,700"
15-Jul-17,63.15,63.31,62.27,62.63,60.24,"32,762,800"
8-Jul-17,63.39,63.4,62.24,63.06,60.66,"34,627,400"
1-Jul-17,63.85,64.8,62.81,63.16,60.75,"29,765,300"
24-Jun-17,66.15,66.4,64,64.09,61.65,"39,142,500"
17-Jun-17,63.09,66.39,63.02,66.16,63.64,"57,370,300"
Dividend,0.47,,,,,
10-Jun-17,64.39,64.68,62.69,62.97,60.13,"54,560,700"
3-Jun-17,65.35,65.39,62.83,64.39,61.48,"50,602,500"
27-May-17,64.72,65.58,64.53,65.47,62.51,"26,533,000"
20-May-17,63.7,65.21,63.57,64.92,61.99,"29,698,100"
13-May-17,63.42,64.5,62.88,63.78,60.9,"45,347,200"
6-May-17,63.91,65.25,63.09,63.57,60.7,"59,861,600"
29-Apr-17,62.25,64.09,62.1,63.97,61.08,"52,626,000"
22-Apr-17,62.5,62.93,62.02,62.33,59.52,"44,419,900"
15-Apr-17,62.71,62.84,61.87,61.89,59.1,"42,538,500"
8-Apr-17,63.27,63.33,62.18,62.61,59.78,"29,234,200"
1-Apr-17,63.43,64.15,62.95,63.13,60.28,"35,976,200"
25-Mar-17,62.92,64.11,62.81,63.54,60.67,"39,272,200"
18-Mar-17,64.14,64.61,62.86,63.18,60.33,"51,668,400"
