AXP,,,,
Date,Open,High,Low,Close*
23-Nov-18,105.88,106.45,105.31,105.74
18-Nov-18,109.9,110.02,105.31,105.74
11-Nov-18,108.16,110.38,106.3,109.46
3-Nov-18,104.04,109.33,103.8,108.28
27-Oct-18,102.47,105.05,100.04,103.71
20-Oct-18,106.61,106.96,100.14,101.25
13-Oct-18,102.85,107.55,102.21,106.73
6-Oct-18,106.63,107.23,101.55,103
Dividend,0.39,,,
29-Sep-18,107.81,109.4,106.72,107.23
22-Sep-18,110.74,110.84,106.28,106.49
15-Sep-18,110.21,111.77,108.94,110.9
8-Sep-18,106.56,110.01,106.47,109.56
1-Sep-18,106.35,107.27,104.55,106.08
25-Aug-18,106.79,107.43,105.3,105.98
18-Aug-18,103.02,106.34,102.93,105.76
11-Aug-18,101.48,103.31,100.84,103.03
4-Aug-18,100.77,103.32,100.4,101.58
28-Jul-18,102.73,103.11,98.67,100.79
21-Jul-18,100.15,104.24,100.01,103.85
14-Jul-18,100.6,103.07,99.28,100.15
7-Jul-18,99.26,101.33,99.08,100.5
Dividend,0.35,,,
30-Jun-18,97.4,99.31,97.16,98.52
23-Jun-18,97.05,100.1,95.65,98
16-Jun-18,97.85,98.55,95.76,97.23
9-Jun-18,101.18,101.67,97.31,98.52
2-Jun-18,98.81,102.39,98.43,101
26-May-18,99.84,99.84,96.98,98.25
19-May-18,101.57,103.24,100.47,101.1
12-May-18,101.69,102.15,99.97,100.99
5-May-18,98.53,102.68,98.29,101.42
28-Apr-18,100,100.37,95.51,98.35
21-Apr-18,100.78,101.71,97.9,99.61
14-Apr-18,93.78,102.96,93.11,100.79
7-Apr-18,92.7,94.3,91.36,93.03
Dividend,0.35,,,
31-Mar-18,93.14,95.05,89.96,91.91
24-Mar-18,91.37,94.37,90.8,93.28
17-Mar-18,95.44,96.27,90.41,90.45
11-Mar-18,99.09,99.7,93.96,95.61
4-Mar-18,95.09,99.11,94.28,99.05
25-Feb-18,99.43,102.12,93.2,95.6
18-Feb-18,96.58,98.84,96.5,98.8
11-Feb-18,92.58,97.49,92.42,96.79
4-Feb-18,95.83,96.72,87.54,91.72
28-Jan-18,99.75,100.18,96.64,96.68
21-Jan-18,97.26,100.11,96.84,99.63
14-Jan-18,102.01,102.39,96.35,98.03
7-Jan-18,101,101.59,99.93,100.97
Dividend,0.35,,,
31-Dec-17,99.73,101.65,98.22,101.08
24-Dec-17,98.8,100.25,98.13,99.31
17-Dec-17,99.19,100.53,98.21,98.74
10-Dec-17,98.6,99.66,97.15,98.52
3-Dec-17,98.62,99.75,97.48,98.55
26-Nov-17,93.57,98.49,93.36,97.86
19-Nov-17,93.92,94.71,93.47,93.48
12-Nov-17,93,94.04,92.78,93.69
4-Nov-17,96.35,96.9,93.28,93.52
28-Oct-17,95.73,96.57,94.52,96.43
21-Oct-17,92.22,96.02,92.22,95.79
14-Oct-17,93.04,93.35,90.04,92.09
7-Oct-17,91.59,92.92,91.26,92.86
Dividend,0.35,,,
30-Sep-17,90.44,91.64,90.1,91.55
23-Sep-17,88.28,90.77,87.84,90.46
16-Sep-17,87.08,89.38,86.95,88.4
9-Sep-17,84.97,86.99,84.97,86.99
2-Sep-17,85.72,85.91,84.02,84.25
26-Aug-17,85.66,86.54,84.4,86.14
19-Aug-17,85.45,85.96,84.7,85.47
12-Aug-17,84.74,87.78,84.72,85.38
5-Aug-17,86.1,86.67,83.97,84.29
29-Jul-17,85.17,86.33,84.84,85.97
22-Jul-17,85.45,86.1,83.33,84.8
15-Jul-17,85.13,86.28,84.53,85.59
8-Jul-17,84.13,85.56,83.54,85.28
Dividend,0.32,,,
1-Jul-17,84.69,85.88,83.72,84.33
24-Jun-17,82.5,85.39,82.44,84.24
17-Jun-17,81.56,82.81,81.29,82.22
10-Jun-17,80.35,81.48,79.62,81.45
3-Jun-17,78.75,80.73,78.29,80.31
27-May-17,77.24,78.74,75.98,78.49
20-May-17,76.95,77.92,76.5,77.46
13-May-17,77.48,78.64,75.97,76.8
6-May-17,78.5,78.74,77.22,77.49
29-Apr-17,79.22,79.66,77.88,78.32
22-Apr-17,80.64,81.4,79.05,79.25
15-Apr-17,75.83,80.47,75.51,79.59
8-Apr-17,77.92,78.11,75.7,75.8
Dividend,0.32,,,
1-Apr-17,79.17,79.18,77.15,77.77
25-Mar-17,77.21,79.43,76.67,79.11
18-Mar-17,79.15,79.6,77.06,78.2
12-Mar-17,79.38,80.1,78.83,79.25
5-Mar-17,79.5,80.37,78.81,79.38
26-Feb-17,79.75,82,79.59,79.88
19-Feb-17,79.92,80.45,79.26,79.76
12-Feb-17,78.82,80.1,78.48,79.71
5-Feb-17,77.72,78.69,77.08,78.48
29-Jan-17,76.83,78.42,75.97,78.04
22-Jan-17,75.92,78.02,75.73,76.85
15-Jan-17,77.4,77.78,75.39,76.2
8-Jan-17,76.14,78,75.53,76.62
Dividend,0.32,,,
1-Jan-17,74.89,76.55,74.74,75.47
