MSFT,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,102.17,103.8,102,103.07,103.07,"13,823,099"
18-Nov-18,108.27,108.56,99.35,103.07,103.07,"150,780,100"
Dividend,0.46,,,,,
11-Nov-18,109.42,109.96,103.91,108.29,107.82,"180,498,800"
3-Nov-18,106.37,112.24,105.9,109.57,109.1,"147,847,300"
27-Oct-18,108.11,108.7,100.11,106.16,105.7,"242,639,700"
20-Oct-18,109.32,110.54,101.59,106.96,106.5,"251,383,700"
13-Oct-18,108.91,111.81,106.95,108.66,108.19,"155,518,200"
6-Oct-18,111.66,113.08,104.2,109.57,109.1,"228,861,900"
29-Sep-18,114.75,116.18,110.64,112.13,111.65,"120,208,900"
22-Sep-18,113.03,115.1,112.22,114.37,113.88,"110,093,600"
15-Sep-18,113.69,115.29,111.04,114.26,113.77,"159,580,000"
8-Sep-18,108.84,113.73,108.36,113.37,112.88,"109,098,700"
1-Sep-18,110.85,111.96,107.23,108.21,107.74,"101,483,200"
25-Aug-18,109.27,112.78,108.51,112.33,111.85,"105,653,200"
18-Aug-18,107.51,108.56,105.78,108.4,107.93,"94,198,400"
Dividend,0.42,,,,,
11-Aug-18,109.24,109.75,106.69,107.58,106.71,"104,689,400"
4-Aug-18,108.12,110.16,107.56,109,108.12,"83,677,700"
28-Jul-18,107.19,108.09,104.76,108.04,107.16,"130,716,100"
21-Jul-18,106.3,111.15,106.13,107.68,106.81,"155,103,100"
14-Jul-18,105.4,108.2,103.89,106.27,105.41,"173,358,100"
7-Jul-18,101.65,105.6,101.1,105.43,104.57,"106,120,800"
30-Jun-18,98.1,101.43,98,101.16,100.34,"72,446,800"
23-Jun-18,100,100.11,97.26,98.61,97.81,"148,332,800"
16-Jun-18,100.01,102.52,99.42,100.41,99.59,"140,541,200"
9-Jun-18,101.01,102.03,100.07,100.13,99.32,"162,739,400"
2-Jun-18,101.26,102.69,100.38,101.63,100.8,"122,201,400"
26-May-18,97.84,100.86,97.23,100.79,99.97,"112,763,600"
19-May-18,97,98.98,96.32,98.36,97.56,"95,883,200"
Dividend,0.42,,,,,
12-May-18,97.92,98.69,95.83,96.36,95.17,"96,545,300"
5-May-18,95.17,97.95,95.05,97.7,96.49,"114,220,400"
28-Apr-18,96.33,96.4,92.45,95.16,93.98,"154,077,300"
21-Apr-18,95.74,97.9,90.28,95.82,94.63,"181,387,700"
14-Apr-18,94.07,97.07,93.42,95,93.82,"122,809,300"
7-Apr-18,91.04,94.18,90.62,93.08,91.93,"133,323,000"
31-Mar-18,90.47,93.07,87.51,90.23,89.11,"189,087,100"
24-Mar-18,90.61,95.14,88.4,91.27,90.14,"211,334,400"
17-Mar-18,93.74,94.05,87.08,87.18,86.1,"163,550,000"
11-Mar-18,96.5,97.24,92.83,94.6,93.43,"170,285,800"
4-Mar-18,92.34,96.54,92.26,96.54,95.34,"135,618,600"
25-Feb-18,94.4,95.84,90.86,93.05,91.9,"157,202,200"
18-Feb-18,91.48,94.07,91.01,94.06,92.89,"108,556,200"
Dividend,0.42,,,,,
11-Feb-18,88.74,93.5,87.8,92,90.43,"155,509,700"
4-Feb-18,90.56,93.24,83.83,88.18,86.68,"279,265,500"
28-Jan-18,95.14,96.07,91.5,91.78,90.22,"214,057,000"
21-Jan-18,90,94.06,89.74,94.06,92.46,"135,847,300"
14-Jan-18,90.1,90.79,88.01,90,88.47,"123,237,000"
7-Jan-18,88.2,89.78,87.24,89.6,88.08,"102,329,900"
31-Dec-17,86.13,88.41,85.5,88.19,86.69,"93,864,300"
24-Dec-17,85.31,86.05,85.03,85.54,84.08,"53,880,900"
17-Dec-17,87.12,87.5,84.71,85.51,84.05,"101,620,000"
10-Dec-17,84.29,87.09,84.12,86.85,85.37,"142,087,400"
3-Dec-17,84.42,84.58,80.7,84.16,82.73,"139,082,900"
26-Nov-17,83.31,85.06,83.18,84.26,82.83,"130,159,000"
19-Nov-17,82.4,83.9,82.25,83.26,81.84,"65,531,200"
Dividend,0.42,,,,,
12-Nov-17,83.66,84.1,82.24,82.4,80.59,"95,423,100"
4-Nov-17,84.2,84.9,82.9,83.87,82.03,"96,411,000"
28-Oct-17,83.7,84.54,82.88,84.14,82.29,"122,777,100"
21-Oct-17,78.99,86.2,78.01,83.81,81.97,"161,742,600"
14-Oct-17,77.42,78.97,77.25,78.81,77.08,"80,464,000"
7-Oct-17,75.97,77.87,75.86,77.49,75.79,"72,932,100"
30-Sep-17,74.71,76.12,73.71,76,74.33,"75,968,000"
23-Sep-17,74.09,74.54,72.92,74.49,72.86,"89,696,800"
16-Sep-17,75.23,75.97,73.85,74.41,72.78,"94,285,700"
9-Sep-17,74.31,75.49,74.07,75.31,73.66,"99,998,400"
2-Sep-17,73.34,74.6,72.98,73.98,72.36,"70,266,800"
26-Aug-17,73.06,74.96,72.05,73.94,72.32,"92,334,900"
19-Aug-17,72.47,73.35,71.7,72.82,71.22,"75,737,600"
Dividend,0.39,,,,,
12-Aug-17,73.06,74.1,71.93,72.49,70.52,"99,138,100"
5-Aug-17,72.8,73.13,71.28,72.5,70.53,"109,141,900"
29-Jul-17,73.3,73.44,71.44,72.68,70.71,"113,025,000"
22-Jul-17,73.53,74.42,72.32,73.04,71.06,"114,816,600"
15-Jul-17,72.8,74.3,72.66,73.79,71.79,"159,733,500"
8-Jul-17,69.46,73.27,69.2,72.78,70.81,"96,363,300"
1-Jul-17,69.33,69.84,68.02,69.46,67.58,"75,337,700"
24-Jun-17,71.4,71.71,68.09,68.93,67.06,"123,708,100"
17-Jun-17,70.5,71.25,69.71,71.21,69.28,"115,784,600"
10-Jun-17,69.25,71.1,68.13,70,68.1,"172,944,800"
3-Jun-17,71.97,72.89,68.59,70.32,68.41,"160,773,400"
27-May-17,69.79,71.86,69.45,71.76,69.81,"103,883,100"
20-May-17,67.89,70.22,67.5,69.96,68.06,"87,939,300"
Dividend,0.39,,,,,
13-May-17,68.14,69.44,67.14,67.69,65.48,"149,197,500"
6-May-17,68.97,69.56,68.04,68.38,66.15,"106,905,800"
29-Apr-17,68.68,69.71,68.49,69,66.75,"125,666,700"
22-Apr-17,67.48,69.14,67.1,68.46,66.22,"160,598,000"
15-Apr-17,65.04,66.7,64.89,66.4,64.23,"113,659,800"
8-Apr-17,65.61,65.86,64.85,64.95,62.83,"71,749,200"
1-Apr-17,65.81,66.35,65.19,65.68,63.54,"87,058,900"
25-Mar-17,64.63,66.19,64.35,65.86,63.71,"88,476,600"
18-Mar-17,64.91,65.5,64.12,64.98,62.86,"103,804,900"
12-Mar-17,65.01,65.24,64.15,64.87,62.75,"129,108,000"
5-Mar-17,63.97,65.26,63.81,64.93,62.81,"98,167,200"
26-Feb-17,64.54,64.99,63.62,64.25,62.15,"108,724,300"
19-Feb-17,64.61,64.95,64.05,64.62,62.51,"82,018,500"
Dividend,0.39,,,,,
12-Feb-17,64.24,65.24,64.02,64.62,62.13,"104,786,300"
5-Feb-17,63.5,64.44,63.14,64,61.54,"98,985,100"
29-Jan-17,65.69,65.79,62.75,63.68,61.23,"172,722,200"
22-Jan-17,62.7,65.91,62.57,65.78,63.25,"159,815,800"
15-Jan-17,62.68,62.98,62.03,62.74,60.33,"88,955,700"
8-Jan-17,62.76,63.4,61.95,62.7,60.29,"100,757,400"
