NKE,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,72.05,72.52,71.4,71.49,71.49,"2,582,343"
18-Nov-18,74.69,74.75,69.52,71.49,71.49,"25,707,200"
11-Nov-18,76.35,77.49,72.89,74.74,74.74,"33,696,200"
3-Nov-18,76.49,78.23,75.53,76.36,76.36,"29,134,000"
27-Oct-18,73.26,78.59,71.39,76.58,76.58,"41,212,600"
20-Oct-18,74.65,75.21,70.69,72.07,72.07,"42,819,300"
13-Oct-18,75.77,77.8,74.14,74.21,74.21,"35,273,500"
6-Oct-18,80.04,81.49,73.9,75.91,75.91,"50,605,800"
29-Sep-18,85.1,85.85,79.43,80.12,80.12,"42,550,200"
22-Sep-18,85.16,85.27,81.95,84.72,84.72,"49,180,300"
15-Sep-18,83.49,86.04,82.94,85.55,85.55,"40,664,900"
8-Sep-18,81.39,83.9,81.22,83.49,83.49,"29,783,200"
1-Sep-18,79.39,81.16,79,80.3,80.3,"46,045,700"
Dividend,0.2,,,,,
25-Aug-18,83.04,83.63,81.01,82.2,82,"25,812,800"
18-Aug-18,81.52,83.68,80.95,82.45,82.25,"27,600,400"
11-Aug-18,80.82,81.15,79.12,79.75,79.55,"29,648,000"
4-Aug-18,78.74,81.88,78.43,80.73,80.53,"24,620,100"
28-Jul-18,76.88,79.07,75.43,78.74,78.55,"31,495,100"
21-Jul-18,76.71,78.44,75.06,76.89,76.7,"28,626,500"
14-Jul-18,77.36,78.1,75.8,76.96,76.77,"25,333,600"
7-Jul-18,76.84,78.18,76.35,77.38,77.19,"22,652,100"
30-Jun-18,78.58,79.48,76.07,76.48,76.29,"30,112,600"
23-Jun-18,73.32,81,71.15,79.68,79.48,"64,194,000"
16-Jun-18,75.28,75.76,73.21,73.43,73.25,"31,445,800"
9-Jun-18,75.06,75.85,73.99,75.84,75.65,"29,568,800"
2-Jun-18,73,75.91,72.79,74.9,74.72,"27,183,400"
Dividend,0.2,,,,,
26-May-18,71.52,72.95,70.43,72.76,72.38,"23,488,500"
19-May-18,71.48,73.49,70.71,72.25,71.87,"29,000,600"
12-May-18,68.6,71.6,68.11,71.32,70.95,"29,944,600"
5-May-18,68.06,69.42,67.01,68.43,68.07,"28,643,100"
28-Apr-18,69.58,69.81,66.64,68.1,67.74,"28,482,800"
21-Apr-18,66,70,65.95,69.56,69.2,"32,873,500"
14-Apr-18,67.81,67.98,64.99,66.09,65.74,"38,151,200"
7-Apr-18,68.39,68.55,66.49,67.25,66.9,"31,234,400"
31-Mar-18,65.97,69.78,63.21,67.55,67.2,"50,238,700"
24-Mar-18,65.08,67.64,64.99,66.44,66.09,"38,205,200"
17-Mar-18,65.7,67.21,64.23,64.63,64.29,"49,624,100"
11-Mar-18,66.65,67.69,65.67,65.91,65.56,"37,275,500"
4-Mar-18,65.48,66.51,63.89,66.3,65.95,"33,257,500"
