PFE,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,42.95,43.54,42.8,43.14,43.14,"8,390,899"
18-Nov-18,43.62,44.39,42.77,43.14,43.14,"71,299,800"
11-Nov-18,44.28,44.55,42.35,43.51,43.51,"114,755,800"
Dividend,0.34,,,,,
3-Nov-18,42.83,44.61,42.69,44.28,43.94,"125,575,600"
27-Oct-18,42.95,43.84,41.78,42.93,42.6,"136,590,300"
20-Oct-18,44.44,44.51,41.66,42.6,42.27,"139,395,800"
13-Oct-18,43.65,44.83,42.98,44.5,44.16,"105,857,500"
6-Oct-18,44.75,45.81,42.4,43.78,43.44,"146,706,800"
29-Sep-18,44.03,45,43.91,44.91,44.57,"91,148,800"
22-Sep-18,43.94,44.46,43.64,44.07,43.73,"77,926,900"
15-Sep-18,43.02,44.2,42.74,44.06,43.72,"110,687,600"
8-Sep-18,42.38,43,41.95,42.96,42.63,"89,294,100"
1-Sep-18,41.48,42.35,41.22,42.2,41.88,"72,744,900"
25-Aug-18,42.52,42.62,41.09,41.52,41.2,"92,164,700"
18-Aug-18,42.2,42.77,41.81,42.4,42.08,"93,785,400"
11-Aug-18,40.95,42.19,40.54,42.09,41.77,"95,559,600"
4-Aug-18,40.36,41.64,40.33,40.93,40.62,"104,641,000"
Dividend,0.34,,,,,
28-Jul-18,38.36,40.66,38.14,40.54,39.89,"156,357,800"
21-Jul-18,37.34,38.48,37.14,38.41,37.79,"97,515,600"
14-Jul-18,37.48,37.77,37.12,37.33,36.73,"82,126,900"
7-Jul-18,37.27,37.59,37.01,37.53,36.93,"87,837,500"
30-Jun-18,36,37.24,36,37.11,36.51,"60,257,200"
23-Jun-18,36.32,36.59,36.11,36.28,35.7,"106,960,700"
16-Jun-18,36.13,36.64,35.73,36.51,35.92,"102,366,100"
9-Jun-18,36.8,36.8,36.03,36.36,35.78,"114,822,700"
2-Jun-18,36.41,36.71,36.19,36.67,36.08,"88,578,600"
26-May-18,35.37,36.28,35.32,36.25,35.67,"104,776,900"
19-May-18,35.71,36.09,35.52,35.68,35.11,"80,238,500"
12-May-18,35.51,35.92,35.43,35.64,35.07,"86,771,800"
Dividend,0.34,,,,,
5-May-18,34.79,35.56,34.71,35.5,34.59,"116,514,700"
28-Apr-18,37.13,37.18,34.37,34.84,33.95,"144,628,100"
21-Apr-18,36.67,37.27,36.51,37,36.05,"109,154,100"
14-Apr-18,36.5,36.79,36.27,36.63,35.69,"82,798,000"
7-Apr-18,35.3,36.5,35.22,36.32,35.39,"91,647,800"
31-Mar-18,35.42,36.23,34.76,35.17,34.27,"113,616,600"
24-Mar-18,34.93,35.81,34.32,35.49,34.58,"99,540,900"
17-Mar-18,36.8,36.8,34.44,34.49,33.61,"105,172,100"
11-Mar-18,36.92,37.04,36.18,36.78,35.84,"127,271,700"
4-Mar-18,35.82,36.92,35.55,36.77,35.83,"99,346,100"
25-Feb-18,36.29,37.28,35.2,35.95,35.03,"123,212,100"
18-Feb-18,36.02,36.59,35.61,36.26,35.33,"90,131,100"
11-Feb-18,34.45,36.66,34.03,36.26,35.33,"128,127,100"
4-Feb-18,36.48,36.7,33.2,34.16,33.29,"213,621,700"
Dividend,0.34,,,,,
28-Jan-18,39,39.43,36.51,36.61,35.35,"167,371,400"
21-Jan-18,36.89,39.09,36.54,39.01,37.66,"122,400,900"
14-Jan-18,36.57,37.37,36.47,36.94,35.67,"101,438,000"
7-Jan-18,36.72,36.8,36.31,36.54,35.28,"86,280,500"
31-Dec-17,36.38,36.92,36.23,36.86,35.59,"54,513,300"
24-Dec-17,36.09,36.53,35.95,36.22,34.97,"37,217,500"
17-Dec-17,37.22,37.35,36.05,36.14,34.89,"69,291,400"
10-Dec-17,36.04,37.23,35.69,37.2,35.92,"105,202,800"
3-Dec-17,36.49,36.62,35.15,35.74,34.51,"84,495,500"
26-Nov-17,35.52,36.5,35.38,36.35,35.1,"79,991,100"
19-Nov-17,35.38,35.73,35.27,35.49,34.27,"41,417,800"
12-Nov-17,35.22,35.7,35.14,35.37,34.15,"80,903,700"
Dividend,0.32,,,,,
4-Nov-17,35.59,35.61,34.8,35.18,33.66,"63,501,800"
28-Oct-17,35.43,35.73,34.1,35.55,34.01,"86,593,400"
21-Oct-17,36.3,36.78,35.4,35.6,34.06,"79,173,400"
14-Oct-17,36.35,36.48,35.75,36.42,34.85,"79,310,900"
7-Oct-17,36.06,36.6,35.93,36.34,34.77,"71,487,800"
30-Sep-17,35.67,36.24,35.49,36.05,34.49,"66,752,100"
23-Sep-17,35.9,36.03,35.19,35.7,34.16,"88,516,700"
