PG,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,91.25,91.99,90.63,91.54,91.54,"4,399,630"
18-Nov-18,93.72,94.19,90.63,91.54,91.54,"34,843,700"
11-Nov-18,92.21,94.81,91.59,93.82,93.82,"63,103,300"
3-Nov-18,89.89,92.67,89.82,92.41,92.41,"47,475,600"
27-Oct-18,88.29,89.95,87.27,89.81,89.81,"61,153,700"
20-Oct-18,86.73,90.7,85.23,87.86,87.86,"86,080,000"
Dividend,0.717,,,,,
13-Oct-18,79.01,87.76,78.92,87.3,86.54,"69,675,300"
6-Oct-18,81.98,82.74,78.49,79.06,78.37,"45,195,200"
29-Sep-18,83.31,84.52,81.1,82.15,81.43,"32,734,000"
22-Sep-18,85.63,85.71,82.79,83.23,82.5,"30,031,000"
15-Sep-18,83.5,86.28,83.34,85.82,85.07,"46,734,700"
8-Sep-18,82.58,83.67,81.63,83.61,82.88,"28,251,000"
1-Sep-18,82.48,83.47,81.25,81.91,81.19,"32,104,600"
25-Aug-18,83.5,83.86,82.39,82.95,82.22,"25,091,700"
18-Aug-18,83.89,84,82.84,83.36,82.63,"30,142,100"
11-Aug-18,81.7,84.2,80.81,83.69,82.96,"40,825,800"
4-Aug-18,82.2,82.93,81,81.43,80.72,"27,711,900"
28-Jul-18,80.07,83.1,79.43,82.33,81.61,"40,890,100"
21-Jul-18,78.49,80.83,77.54,80.58,79.87,"37,651,100"
Dividend,0.7172,,,,,
14-Jul-18,79.21,80.5,77.89,78.68,77.29,"41,265,000"
7-Jul-18,78.46,79.94,77.78,79.31,77.91,"44,299,100"
30-Jun-18,77.5,79.62,77.42,79.31,77.91,"27,190,100"
23-Jun-18,77.28,78.71,77.18,78.06,76.68,"42,126,600"
16-Jun-18,76.86,77.63,75.39,77.43,76.06,"42,640,000"
9-Jun-18,76.97,77.89,75.7,77.38,76.01,"49,696,500"
2-Jun-18,73.54,77.21,73.45,77.18,75.82,"49,378,400"
