TRV,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,127.44,127.65,126.36,126.6,126.6,"405,778"
18-Nov-18,128.93,131.1,126.36,126.6,126.6,"5,920,700"
11-Nov-18,130.3,130.8,121.4,128.77,128.77,"11,510,900"
3-Nov-18,125.16,131.81,125.16,131.03,131.03,"7,395,800"
27-Oct-18,122.82,126.96,121.59,124.9,124.9,"9,658,700"
20-Oct-18,125.9,126.65,119.67,121.29,121.29,"11,599,000"
13-Oct-18,123.34,127.3,123.02,126.07,126.07,"9,508,000"
6-Oct-18,130.01,132.47,121.47,123.65,123.65,"8,274,700"
29-Sep-18,130,131.44,128.24,130.13,130.13,"6,334,300"
22-Sep-18,134.44,134.44,128.22,129.71,129.71,"5,506,700"
15-Sep-18,130.22,134.61,129.5,134.44,134.44,"8,314,900"
8-Sep-18,129.39,130.12,125.71,130.01,130.01,"7,996,400"
Dividend,0.77,,,,,
1-Sep-18,131.71,133.4,129.97,130.09,129.33,"4,757,800"
25-Aug-18,131.81,133.25,130.67,131.6,130.84,"5,623,300"
18-Aug-18,130.75,132.26,128.94,130.51,129.75,"5,794,000"
11-Aug-18,128.69,130.97,126.68,130.42,129.66,"6,604,000"
4-Aug-18,129.72,131.13,127.61,128.87,128.12,"5,609,400"
28-Jul-18,130.52,131.98,127,129.7,128.95,"8,216,800"
21-Jul-18,125.55,131.63,123.58,130.73,129.97,"9,929,100"
14-Jul-18,127.01,130.46,124.34,125.2,124.47,"9,266,100"
7-Jul-18,123.84,126.79,123.54,126.63,125.89,"5,896,500"
30-Jun-18,122.08,124.05,121.4,123.18,122.46,"4,053,600"
23-Jun-18,124.31,124.92,120.74,122.34,121.63,"6,559,600"
16-Jun-18,128.05,128.83,122.83,124.41,123.69,"7,364,800"
9-Jun-18,131.34,131.49,127.76,129.37,128.62,"7,566,900"
Dividend,0.77,,,,,
2-Jun-18,129.94,131.64,127.61,131.32,129.78,"7,869,200"
26-May-18,129.89,130.72,127.51,129.29,127.77,"5,795,100"
19-May-18,130.71,132.06,129.34,131.03,129.49,"4,535,600"
