UTX,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,124.99,130.28,124.79,129.04,129.04,"9,726,113"
18-Nov-18,130,130.28,124.66,129.04,129.04,"21,830,800"
Dividend,0.735,,,,,
11-Nov-18,130.94,131.03,126.65,130.13,129.39,"23,163,400"
3-Nov-18,127.48,131.96,126.45,130.71,129.96,"23,885,100"
27-Oct-18,124.85,129.63,119.19,127.43,126.7,"27,739,900"
20-Oct-18,128.68,131.29,121.58,123.23,122.53,"30,385,900"
13-Oct-18,129.84,132.63,127.59,128.68,127.95,"18,482,000"
6-Oct-18,139.03,139.95,127.62,129.63,128.89,"26,940,700"
29-Sep-18,141.15,142.39,138.61,139.06,138.27,"16,737,600"
22-Sep-18,141.81,143,138.69,139.81,139.01,"12,484,000"
15-Sep-18,137.82,144.15,137.44,142.08,141.27,"24,275,500"
8-Sep-18,132.87,137.97,132.16,137.8,137.01,"18,029,400"
1-Sep-18,131.95,134.59,130.53,132.01,131.26,"12,349,700"
25-Aug-18,134.26,136.34,130.99,131.7,130.95,"14,738,000"
18-Aug-18,134.96,136.47,132.2,133.36,132.6,"17,737,500"
Dividend,0.7,,,,,
11-Aug-18,133.04,134.8,129.61,134.44,132.96,"18,808,900"
4-Aug-18,133.68,136.58,132.29,133.1,131.64,"11,651,100"
28-Jul-18,134.84,136.34,133,133.89,132.42,"16,745,300"
21-Jul-18,129.89,136.66,128.3,134.53,133.05,"27,456,600"
14-Jul-18,129.54,132.64,128.78,130.26,128.83,"18,318,100"
7-Jul-18,126.01,129.84,124.22,129.51,128.09,"19,507,500"
30-Jun-18,123.87,126.97,123.1,125.4,124.02,"12,427,600"
23-Jun-18,123.8,127.37,123.43,125.03,123.66,"24,186,000"
16-Jun-18,126.55,127.59,123.18,124.87,123.5,"22,060,600"
9-Jun-18,127.55,128.76,125.5,126.91,125.52,"20,589,900"
2-Jun-18,126.4,127.69,125.14,127.61,126.21,"13,586,700"
26-May-18,126.17,126.65,124.23,125.81,124.43,"11,621,000"
19-May-18,125.97,129.03,125.97,127.03,125.63,"16,194,500"
Dividend,0.7,,,,,
12-May-18,124.39,125.64,123.46,125.19,123.12,"17,133,700"
5-May-18,119.77,124.91,119.67,124.48,122.42,"14,563,900"
28-Apr-18,122.53,122.79,115.4,119.51,117.53,"23,265,200"
21-Apr-18,123.12,127.31,119.37,122.46,120.44,"22,640,100"
14-Apr-18,123.9,125.95,122.5,123.08,121.05,"22,041,000"
7-Apr-18,123.85,124.39,121.85,122.71,120.68,"17,006,800"
31-Mar-18,125.65,126.6,120.66,122.76,120.73,"26,195,300"
24-Mar-18,123.94,128.18,123.44,125.82,123.74,"26,501,300"
17-Mar-18,128,128.94,122.14,122.31,120.29,"18,967,300"
11-Mar-18,134.7,134.7,127.78,128.33,126.21,"20,990,200"
4-Mar-18,129.32,134.19,128.02,134.07,131.85,"18,897,500"
25-Feb-18,133.82,138.5,128.29,129.94,127.79,"30,452,900"
18-Feb-18,128.75,134.92,125.88,133.15,130.95,"25,078,400"
Dividend,0.7,,,,,
11-Feb-18,123.07,131.01,123,129.26,126.42,"30,906,900"
4-Feb-18,133.48,134.14,122.21,125.03,122.28,"42,966,300"
28-Jan-18,138.05,139.24,134.4,134.61,131.65,"21,846,400"
21-Jan-18,134.97,138.5,133.6,137.98,134.95,"23,119,400"
14-Jan-18,137.73,137.73,132.95,135.9,132.91,"15,537,800"
7-Jan-18,135.19,136.58,132.2,136.58,133.58,"24,158,100"
31-Dec-17,127.9,132.36,127.17,131.57,128.68,"15,439,700"
24-Dec-17,127.45,128.49,126.92,127.57,124.77,"6,083,400"
17-Dec-17,126.74,127.89,125.63,127.23,124.44,"15,767,400"
10-Dec-17,122.93,126.44,122.5,126.17,123.4,"21,100,100"
3-Dec-17,121.18,123.09,120.02,122.81,120.11,"15,121,600"
26-Nov-17,116.82,121.95,116.44,120.12,117.48,"17,328,700"
19-Nov-17,116.83,117.63,116.3,116.91,114.34,"9,754,900"
Dividend,0.7,,,,,
12-Nov-17,117.95,119.02,116.48,116.53,113.29,"12,633,100"
4-Nov-17,121.26,121.46,118,118.11,114.83,"12,217,700"
28-Oct-17,119.41,121.75,118.85,121.07,117.71,"14,932,400"
21-Oct-17,120.76,123.28,118.87,119.07,115.76,"17,931,000"
14-Oct-17,118.84,120.93,118.18,120.93,117.57,"10,192,100"
7-Oct-17,118.29,119.95,117.43,118.72,115.42,"13,348,100"
