UNH,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,260,262.94,258.28,261.62,261.62,"1,159,250"
18-Nov-18,271.48,272.27,258.28,261.62,261.62,"11,682,100"
11-Nov-18,276,277.79,260.85,271.11,271.11,"16,684,800"
3-Nov-18,262.15,278,260.07,276.55,276.55,"18,379,600"
27-Oct-18,259.72,266.38,253.32,261.01,261.01,"17,462,000"
20-Oct-18,266.75,266.83,253.37,258.18,258.18,"21,471,700"
13-Oct-18,260.13,272.81,259.31,265.3,265.3,"20,490,800"
6-Oct-18,268.84,271.96,255.78,259.61,259.61,"17,207,200"
29-Sep-18,267.25,272.07,267.02,269.2,269.2,"13,326,300"
22-Sep-18,267.01,269.53,262.45,266.04,266.04,"14,364,000"
15-Sep-18,266.5,267.94,262,266.67,266.67,"15,538,300"
8-Sep-18,266.78,266.8,257.48,265.31,265.31,"13,484,900"
Dividend,0.9,,,,,
1-Sep-18,268,271.16,266.57,268.28,267.38,"9,842,000"
25-Aug-18,265,270.17,264.42,268.46,267.56,"14,036,300"
18-Aug-18,263,264.78,259.56,264.28,263.39,"9,336,100"
11-Aug-18,261,264.3,259.19,262.33,261.45,"9,680,000"
4-Aug-18,256.5,263.02,255.47,260.36,259.48,"8,295,200"
28-Jul-18,255.91,257.56,252.23,257.22,256.36,"10,320,800"
21-Jul-18,252.91,257.87,252.01,255.95,255.09,"10,651,100"
14-Jul-18,258.29,258.45,246.27,252.7,251.85,"18,184,700"
7-Jul-18,252.13,259.01,251.05,258.7,257.83,"9,486,700"
30-Jun-18,245,251.73,244.12,250.76,249.92,"6,796,500"
23-Jun-18,254.36,255.13,242.23,245.34,244.51,"14,029,300"
16-Jun-18,254,255.11,250.92,254.37,253.51,"11,666,800"
Dividend,0.9,,,,,
9-Jun-18,250.84,256.73,250.17,255.98,254.22,"15,709,500"
2-Jun-18,244,251.5,241.91,250.68,248.96,"11,522,900"
26-May-18,243.86,245.75,240.24,243.35,241.68,"10,222,800"
19-May-18,245,249.17,241.64,244.95,243.27,"12,889,000"
12-May-18,238.9,244.76,238.57,244.64,242.96,"12,898,600"
5-May-18,235.88,238.8,228.23,238.28,236.64,"14,654,200"
28-Apr-18,241,241,229.31,235.9,234.28,"14,354,600"
21-Apr-18,235.29,240.54,230.44,240.18,238.53,"13,496,300"
14-Apr-18,227.11,241.67,226.35,235.06,233.44,"19,207,900"
7-Apr-18,225.58,228.16,221.69,224.28,222.74,"14,412,200"
31-Mar-18,218.46,231.58,214.63,223.96,222.42,"22,126,500"
24-Mar-18,215.19,223.35,214,214,212.53,"15,992,300"
17-Mar-18,227.31,227.97,212.5,212.55,211.09,"21,892,200"
11-Mar-18,226.21,231.27,222.77,227.86,226.29,"18,529,800"
Dividend,0.75,,,,,
4-Mar-18,223.37,229.43,222.5,225.43,223.14,"16,857,800"
25-Feb-18,231.64,235.89,222.59,225.19,222.9,"16,703,300"
18-Feb-18,227.91,230.32,225.08,230.16,227.82,"11,706,000"
11-Feb-18,222.44,230.55,221.74,229.37,227.04,"19,611,600"
4-Feb-18,230.79,233.11,208.48,220.96,218.72,"30,071,700"
28-Jan-18,249.28,250.79,231.19,231.88,229.53,"27,545,800"
21-Jan-18,243.59,248.74,241.36,248.47,245.95,"15,081,300"
14-Jan-18,233.37,244.35,231.25,243.35,240.88,"22,471,100"
7-Jan-18,228.13,229.9,223.03,228.64,226.32,"14,322,000"
31-Dec-17,221.02,229.05,220,228.73,226.41,"11,084,500"
24-Dec-17,219.09,223.95,219.09,220.46,218.22,"7,147,100"
17-Dec-17,222.6,224.89,218.45,220,217.77,"13,082,500"
10-Dec-17,222.51,226.97,220.63,221.82,219.57,"16,058,100"
3-Dec-17,229.26,231.77,218.19,223.91,221.64,"16,130,200"
Dividend,0.75,,,,,
26-Nov-17,212.25,229.22,211.81,226.78,223.72,"20,181,400"
19-Nov-17,210,212.93,209.58,212.51,209.64,"7,369,400"
12-Nov-17,210.31,213.54,209.15,209.9,207.07,"10,279,500"
4-Nov-17,211.91,213.93,209.13,211.07,208.22,"9,625,000"
28-Oct-17,212.21,213.83,207.8,212.87,210,"13,152,700"
21-Oct-17,207.58,212.77,205.8,212.6,209.73,"17,360,900"
14-Oct-17,192.48,208.21,191.36,207.49,204.69,"25,284,000"
7-Oct-17,198.01,198.32,186,192.52,189.92,"17,189,800"
30-Sep-17,196.59,200.73,196.33,198.06,195.39,"15,144,700"
23-Sep-17,193.27,196.55,190.92,195.85,193.21,"13,883,200"
16-Sep-17,198.17,198.82,188.25,193.03,190.43,"16,077,900"
9-Sep-17,199.25,200.76,196.91,198.18,195.51,"14,834,300"
Dividend,0.75,,,,,
2-Sep-17,199.2,200.44,197,197.75,194.35,"10,631,600"
26-Aug-17,194.59,199.99,194.33,199.75,196.31,"10,820,800"
19-Aug-17,190.88,195.54,190.88,194.36,191.01,"8,798,100"
12-Aug-17,194.6,195.27,190.63,190.82,187.54,"11,086,500"
5-Aug-17,194.81,195.41,192.4,193.02,189.7,"10,851,000"
