VZ,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,132.59,134.25,132.49,132.87,132.87,"3,676,032"
18-Nov-18,140.47,140.57,129.54,132.87,132.87,"40,065,500"
Dividend,0.25,,,,,
11-Nov-18,143.42,143.64,137.93,140.18,139.93,"41,429,000"
3-Nov-18,139.8,145.46,138.07,143.93,143.67,"45,782,000"
27-Oct-18,139.61,141.51,129.79,139.78,139.53,"74,168,200"
20-Oct-18,140.97,141.54,132.5,137.74,137.49,"57,706,000"
13-Oct-18,139.9,142.86,137.22,140.08,139.83,"47,102,600"
6-Oct-18,145.01,145.01,132.26,140.06,139.81,"66,535,900"
29-Sep-18,150.89,151.56,144.4,145.36,145.1,"41,665,300"
22-Sep-18,149.16,150.64,147.27,150.09,149.82,"28,694,200"
15-Sep-18,147.83,150.26,145.83,150.05,149.78,"43,633,800"
8-Sep-18,144.13,148.37,143.21,147.84,147.58,"32,954,400"
1-Sep-18,146.93,147.86,142.54,143.2,142.94,"42,216,900"
25-Aug-18,144.99,147.71,144.71,146.89,146.63,"30,904,700"
18-Aug-18,141.54,144.38,139.8,144.2,143.94,"25,849,000"
Dividend,0.21,,,,,
11-Aug-18,140.53,141.71,138.84,141.33,140.86,"29,625,900"
4-Aug-18,139.65,141.24,139.05,139.73,139.27,"32,769,200"
28-Jul-18,140.13,140.42,135.31,139.82,139.36,"44,500,900"
21-Jul-18,140.66,143.14,139.21,140.71,140.25,"41,972,000"
14-Jul-18,139.42,141.47,137.42,140.99,140.53,"32,481,700"
7-Jul-18,134.94,140.03,134.79,139.42,138.96,"45,853,100"
30-Jun-18,131.96,134.28,131.15,134.09,133.65,"20,745,100"
23-Jun-18,134.91,134.91,129.53,132.45,132.01,"38,937,700"
16-Jun-18,134.37,136.69,133.57,135.33,134.88,"37,184,600"
9-Jun-18,134.9,135.77,133.54,135.1,134.66,"35,122,200"
2-Jun-18,131.94,136.58,131.43,134.74,134.3,"34,992,400"
26-May-18,130.39,132.51,129.06,130.85,130.42,"40,387,200"
19-May-18,130.95,132.21,129.8,131.28,130.85,"32,269,300"
Dividend,0.21,,,,,
12-May-18,132.43,132.5,129.07,129.93,129.29,"26,667,900"
5-May-18,128.4,132.09,128.25,131.82,131.18,"28,924,300"
28-Apr-18,126.74,128.36,125.32,128.16,127.53,"35,948,800"
21-Apr-18,124.3,127.59,119.37,126.01,125.39,"46,628,400"
14-Apr-18,122.11,124.87,121.51,124.2,123.59,"32,827,300"
7-Apr-18,118.63,122.47,118.63,120.75,120.16,"36,687,200"
31-Mar-18,119.27,122.01,116.71,117.7,117.12,"40,587,400"
24-Mar-18,119.09,121.6,116.03,119.62,119.04,"40,082,500"
17-Mar-18,123.94,125.44,116.76,117,116.43,"53,052,800"
11-Mar-18,124.75,125.05,121.9,124.53,123.92,"41,279,500"
4-Mar-18,120.45,124.79,119.44,124.51,123.9,"33,875,300"
25-Feb-18,123.58,125.3,117.86,120.77,120.18,"36,740,100"
18-Feb-18,121.35,123.05,119.62,122.93,122.33,"23,889,800"
Dividend,0.21,,,,,
11-Feb-18,117.79,122.99,116.88,121.85,121.04,"41,829,300"
4-Feb-18,118.7,122.46,111.02,116.32,115.55,"75,340,100"
28-Jan-18,126.74,126.88,120.7,120.91,120.11,"46,857,900"
21-Jan-18,122.87,126.38,122.4,126.32,125.48,"34,234,800"
14-Jan-18,121.18,123.65,119.91,122.7,121.89,"33,521,400"
7-Jan-18,118.61,120.48,117.46,120.09,119.3,"32,281,300"
31-Dec-17,114.57,119,113.95,118.86,118.07,"29,422,800"
24-Dec-17,112.07,114.92,112.07,114.02,113.27,"23,208,100"
17-Dec-17,114.69,114.75,111.99,112.69,111.94,"38,119,600"
10-Dec-17,112.5,114.37,112,113.82,113.07,"50,585,500"
3-Dec-17,111.33,112.61,106.6,112.6,111.85,"53,502,500"
26-Nov-17,112,113.62,106.9,110.73,110,"59,432,300"
19-Nov-17,109.95,112.16,109.69,111.97,111.23,"20,442,900"
Dividend,0.195,,,,,
12-Nov-17,111.55,112.04,109.7,109.82,108.9,"34,227,800"
4-Nov-17,111.36,112.91,110.93,111.88,110.94,"20,744,000"
28-Oct-17,109.67,111.42,108.66,111.36,110.43,"28,582,600"
21-Oct-17,108.05,110.74,107.1,109.71,108.79,"45,332,000"
14-Oct-17,108.79,109.05,106.9,107.55,106.65,"35,038,000"
7-Oct-17,106.6,109.26,106.54,108.66,107.75,"26,926,400"
