WMT,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,94.13,95.55,94.13,95.1,95.1,"4,889,960"
18-Nov-18,97.94,98.25,93.31,95.1,95.1,"36,075,900"
11-Nov-18,105.5,106.21,96.92,97.69,97.69,"57,699,500"
3-Nov-18,101.19,105.9,100.63,105.56,105.56,"37,069,900"
27-Oct-18,99.51,102.6,99.09,101.34,101.34,"52,807,800"
20-Oct-18,97.34,99.67,96.11,98.94,98.94,"52,556,100"
13-Oct-18,94.5,97.65,93.82,97.15,97.15,"49,435,700"
6-Oct-18,93.25,97.85,93.02,94.81,94.81,"44,844,700"
29-Sep-18,94.29,95.61,92.89,93.31,93.31,"31,815,000"
22-Sep-18,95.44,96.52,93.69,93.91,93.91,"29,118,500"
15-Sep-18,94.75,96.29,94.15,95.9,95.9,"32,847,100"
8-Sep-18,96.11,97.66,94.35,94.59,94.59,"34,668,400"
1-Sep-18,95.8,96.83,95.24,95.83,95.83,"30,578,500"
25-Aug-18,95.26,96.83,94.29,95.86,95.86,"38,269,500"
18-Aug-18,97.67,98.29,94.35,94.95,94.95,"45,667,000"
11-Aug-18,90.2,100.21,89.37,97.85,97.85,"79,427,500"
Dividend,0.52,,,,,
4-Aug-18,89.31,90.37,88.65,90.18,89.66,"27,189,900"
28-Jul-18,88,90.28,87.62,89.6,89.08,"27,822,100"
21-Jul-18,87.65,89.43,87.11,88.13,87.62,"26,776,300"
14-Jul-18,87.62,89.19,86.83,88.06,87.55,"25,102,400"
7-Jul-18,85,87.99,84.77,87.7,87.19,"29,496,900"
30-Jun-18,85.65,85.94,83.4,84.51,84.02,"23,502,500"
23-Jun-18,84.59,87.49,84.48,85.65,85.16,"53,088,000"
16-Jun-18,83.05,84.85,82.37,84.82,84.33,"44,726,400"
9-Jun-18,84.41,84.81,83.06,83.7,83.22,"40,692,800"
2-Jun-18,83.5,85.76,83.3,84.36,83.87,"41,837,600"
26-May-18,81.96,84.31,81.81,82.99,82.51,"34,381,200"
19-May-18,84.14,84.81,81.78,82.46,81.98,"42,387,300"
12-May-18,83.89,87.59,83.49,83.64,83.16,"74,319,500"
Dividend,0.52,,,,,
5-May-18,87.49,87.5,81.95,83.38,82.38,"75,392,600"
28-Apr-18,87.94,89.66,85.12,87.53,86.48,"35,574,200"
21-Apr-18,86.89,88.32,85.57,87.29,86.24,"34,024,200"
14-Apr-18,86.2,88.56,86.12,86.98,85.94,"34,589,800"
7-Apr-18,86.85,87.45,85.19,86.02,84.99,"38,190,000"
31-Mar-18,88,88.35,84.84,86.69,85.65,"48,091,900"
24-Mar-18,86.22,89.34,85.48,88.97,87.9,"36,596,500"
17-Mar-18,88.91,89.68,85.28,85.42,84.4,"54,520,700"
11-Mar-18,88.7,90.09,85.9,89.17,88.1,"71,698,800"
Dividend,0.52,,,,,
4-Mar-18,88.14,90.5,87.34,88.72,87.14,"55,234,000"
25-Feb-18,92.9,93.8,87.24,88.77,87.19,"80,172,100"
18-Feb-18,96.99,97.94,91.24,92.89,91.23,"134,748,700"
11-Feb-18,100.13,104.94,98.8,104.78,102.91,"46,624,700"
4-Feb-18,103.4,104.61,96.43,99.37,97.6,"68,300,300"
28-Jan-18,108.11,109.98,104.15,104.48,102.61,"42,988,400"
21-Jan-18,104.5,108.41,104.04,108.39,106.45,"35,062,600"
14-Jan-18,101.34,104.94,100.34,104.59,102.72,"36,467,800"
7-Jan-18,100.25,102.35,98.53,100.87,99.07,"37,575,900"
31-Dec-17,99.3,100.38,98.52,100.13,98.34,"33,168,500"
24-Dec-17,98.35,99.69,98.35,98.75,96.99,"26,344,900"
17-Dec-17,97.38,99.91,97.36,98.21,96.46,"43,554,200"
10-Dec-17,96.96,98.57,96.29,97.11,95.38,"50,147,500"
Dividend,0.51,,,,,
3-Dec-17,97.73,98.14,96.14,96.55,94.33,"38,431,300"
26-Nov-17,96.85,98.44,95.82,97.35,95.11,"50,189,400"
19-Nov-17,96.44,97.92,95.76,96.62,94.4,"42,555,100"
12-Nov-17,91.04,100.13,89.65,97.47,95.23,"88,457,000"
4-Nov-17,89.42,91.69,88.31,90.92,88.83,"31,926,500"
28-Oct-17,87.94,89.88,86.39,89.68,87.62,"30,930,200"
21-Oct-17,87.34,89.11,87.15,88.17,86.14,"37,796,800"
14-Oct-17,86.58,87.45,85.02,87.44,85.43,"35,270,700"
7-Oct-17,79.5,86.95,79.4,86.62,84.63,"79,444,000"
30-Sep-17,77.9,79.81,77.5,79,77.18,"33,204,700"
23-Sep-17,78.92,80.1,77.98,78.14,76.34,"43,423,900"
16-Sep-17,80.21,81.12,79.25,79.53,77.7,"31,854,300"
9-Sep-17,79.15,80.75,78.66,80.38,78.53,"42,086,000"
2-Sep-17,77.95,80.76,77.73,78.88,77.07,"37,315,000"
26-Aug-17,78.41,79.1,77.5,78.37,76.57,"36,785,700"
19-Aug-17,79.12,80.88,77.85,78.63,76.82,"52,989,500"
12-Aug-17,80.59,81.44,78.33,79.31,77.49,"53,409,300"
Dividend,0.51,,,,,
5-Aug-17,80.57,81.99,80.36,80.4,78.06,"35,422,900"
29-Jul-17,79.82,81.76,79.69,80.48,78.14,"37,751,400"
22-Jul-17,76.03,79.96,76.03,79.81,77.49,"38,635,800"
15-Jul-17,76.29,76.87,75.55,76.15,73.93,"30,582,800"
8-Jul-17,75.15,76.56,73.13,76.34,74.12,"45,611,900"
1-Jul-17,75.84,76.34,75.05,75.33,73.14,"22,354,400"
24-Jun-17,74.95,76.8,74.92,75.68,73.48,"36,057,600"
17-Jun-17,75.38,76.61,74.52,74.84,72.66,"56,317,300"
10-Jun-17,79.4,80.37,73.29,75.24,73.05,"88,475,300"
3-Jun-17,79.6,80.47,78.23,79.42,77.11,"50,495,500"
27-May-17,78,79.93,77.93,79.62,77.3,"29,761,700"
20-May-17,78.65,79,77.79,78.13,75.86,"36,170,300"
13-May-17,75.8,79.44,74.96,78.77,76.48,"65,935,200"
Dividend,0.51,,,,,
6-May-17,76.5,77.05,75.37,75.71,73.02,"36,521,700"
29-Apr-17,75.09,76.6,75.09,76.5,73.78,"30,106,500"
22-Apr-17,75.08,75.77,74.42,75.18,72.51,"33,751,000"
15-Apr-17,73.16,75.11,73.15,74.94,72.27,"31,470,900"
8-Apr-17,72.99,73.83,72.73,73.15,70.55,"25,270,100"
1-Apr-17,72.08,72.99,71.38,72.9,70.31,"36,922,200"
25-Mar-17,69.52,72.56,69.33,72.08,69.52,"38,117,100"
18-Mar-17,70.14,70.45,69.53,69.61,67.13,"35,426,400"
12-Mar-17,69.99,71.21,69.71,69.89,67.4,"46,714,100"
Dividend,0.51,,,,,
5-Mar-17,70,70.44,69.54,70.1,67.11,"39,108,600"
26-Feb-17,72.28,72.42,69.88,70.03,67.05,"56,944,200"
19-Feb-17,71.21,72.8,70.7,72.39,69.31,"64,345,200"
12-Feb-17,68.32,69.79,67.56,69.37,66.41,"46,525,200"
5-Feb-17,66.37,69.14,66.37,68.02,65.12,"46,089,800"
29-Jan-17,65.63,67.14,65.63,66.5,63.67,"43,636,400"
22-Jan-17,67.01,67.73,65.28,65.66,62.86,"47,322,600"
15-Jan-17,68.1,69.29,67.02,67.18,64.32,"39,337,500"
8-Jan-17,68.33,69.27,67.08,67.13,64.27,"42,172,100"
1-Jan-17,69.24,69.63,68.01,68.26,65.35,"34,981,500"
