AAPL,,,,
Date,Open,High,Low,Close*
23-Nov-18,174.94,176.58,172.11,172.29
18-Nov-18,190,190.7,172.1,172.29
11-Nov-18,199,199.85,185.93,193.53
Dividend,0.73,,,
3-Nov-18,204.3,210.12,198.17,204.47
27-Oct-18,219.19,222.36,205.43,207.48
20-Oct-18,219.79,224.23,212.67,216.3
13-Oct-18,221.16,222.99,213,219.31
6-Oct-18,222.21,227.27,212.32,222.11
29-Sep-18,227.95,233.47,220.58,224.29
22-Sep-18,216.82,226.44,216.63,225.74
15-Sep-18,222.15,222.95,215.3,217.66
8-Sep-18,220.95,228.35,216.47,223.84
1-Sep-18,228.41,229.67,220.71,221.3
25-Aug-18,217.15,228.87,216.33,227.63
18-Aug-18,218.1,219.18,213.84,216.16
11-Aug-18,209.31,217.95,207.7,217.58
Dividend,0.73,,,
4-Aug-18,208,209.78,204.52,207.53
28-Jul-18,191.9,208.74,189.07,207.99
21-Jul-18,190.68,195.96,189.56,190.98
14-Jul-18,191.52,192.65,189.2,191.44
7-Jul-18,189.5,191.84,187.61,191.33
30-Jun-18,183.82,188.43,183.42,187.97
23-Jun-18,183.4,187.28,180.73,185.11
16-Jun-18,187.88,189.22,183.45,184.92
9-Jun-18,191.35,192.88,188.26,188.84
2-Jun-18,191.64,194.2,189.77,191.7
26-May-18,187.6,190.26,186.14,190.24
19-May-18,188,189.65,185.76,188.58
12-May-18,189.01,189.53,185.1,186.31
Dividend,0.73,,,
5-May-18,185.18,190.37,183.67,188.59
28-Apr-18,162.13,184.25,161.84,183.83
21-Apr-18,166.83,166.92,160.63,162.32
14-Apr-18,175.03,178.94,165.43,165.72
7-Apr-18,169.88,175.84,169.85,174.73
31-Mar-18,166.64,174.23,164.47,168.38
24-Mar-18,168.07,175.15,165.19,167.78
17-Mar-18,177.32,177.47,164.94,164.94
11-Mar-18,180.29,183.5,177.62,178.02
4-Mar-18,175.21,180,174.27,179.98
25-Feb-18,176.35,180.62,172.45,176.21
18-Feb-18,172.05,175.65,171.01,175.5
11-Feb-18,158.5,174.82,157.51,172.43
Dividend,0.63,,,
4-Feb-18,159.1,163.88,150.24,156.41
28-Jan-18,170.16,170.16,160.1,160.5
21-Jan-18,177.3,179.44,170.06,171.51
14-Jan-18,177.9,180.1,175.07,178.46
7-Jan-18,174.35,177.36,173,177.09
31-Dec-17,170.16,175.37,169.26,175
24-Dec-17,170.8,171.85,169.22,169.23
17-Dec-17,174.88,177.2,173.25,175.01
10-Dec-17,169.2,174.17,168.79,173.97
3-Dec-17,172.48,172.62,166.46,169.37
26-Nov-17,175.05,175.08,167.16,171.05
19-Nov-17,170.29,175.5,169.56,174.97
12-Nov-17,173.5,174.5,168.38,170.15
10-Nov-17,0.63 Dividend,,,
4-Nov-17,172.37,176.24,171.72,174.67
28-Oct-17,163.89,174.26,163.72,172.5
21-Oct-17,156.89,163.6,155.27,163.05
14-Oct-17,157.9,160.87,155.02,156.25
7-Oct-17,155.81,158,155.1,156.99
30-Sep-17,154.26,155.49,152.46,155.3
23-Sep-17,149.99,154.72,149.16,154.12
16-Sep-17,160.11,160.5,150.56,151.89
9-Sep-17,160.5,163.96,157.91,159.88
2-Sep-17,163.75,164.25,158.53,158.63
26-Aug-17,160.14,164.94,159.93,164.05
19-Aug-17,157.5,160.74,155.11,159.86
12-Aug-17,159.32,162.51,156.72,157.5
Dividend,0.63,,,
5-Aug-17,157.06,161.83,154.63,157.48
29-Jul-17,149.9,159.75,148.13,156.39
22-Jul-17,150.58,153.99,147.3,149.5
15-Jul-17,148.82,151.74,148.57,150.27
8-Jul-17,144.11,149.33,143.37,149.04
1-Jul-17,144.88,145.3,142.41,144.18
24-Jun-17,147.17,148.28,142.28,144.02
17-Jun-17,143.66,147.16,143.66,146.28
10-Jun-17,145.74,147.5,142.2,142.27
3-Jun-17,154.34,155.98,146.02,148.98
27-May-17,153.42,155.45,152.22,155.45
20-May-17,154,154.9,152.67,153.61
13-May-17,156.01,156.65,149.71,153.06
Dividend,0.63,,,
6-May-17,149.03,156.42,149.03,156.1
29-Apr-17,145.1,148.98,144.27,148.96
22-Apr-17,143.5,144.9,143.18,143.65
15-Apr-17,141.48,142.92,140.45,142.27
8-Apr-17,143.6,143.88,140.06,141.05
1-Apr-17,143.71,145.46,143.05,143.34
25-Mar-17,139.39,144.5,138.62,143.66
18-Mar-17,140.4,142.8,139.73,140.64
12-Mar-17,138.85,141.02,138.82,139.99
5-Mar-17,139.37,139.98,137.05,139.14
26-Feb-17,137.14,140.28,136.28,139.78
19-Feb-17,136.23,137.48,135.28,136.66
12-Feb-17,133.08,136.27,132.75,135.72
Dividend,0.57,,,
5-Feb-17,129.13,132.94,128.9,132.12
29-Jan-17,120.93,130.49,120.62,129.08
22-Jan-17,120,122.44,119.5,121.95
15-Jan-17,118.34,120.5,118.22,120
8-Jan-17,117.95,119.93,117.94,119.04
1-Jan-17,115.8,118.16,114.76,117.91
