WBA,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
23-Nov-18,79.11,81.5,79.01,80.81,80.81,"2,716,274"
18-Nov-18,82.34,82.99,78.28,80.81,80.81,"23,444,800"
11-Nov-18,82.39,83.18,80.83,82.52,82.52,"21,226,200"
Dividend,0.44,,,,,
3-Nov-18,79.6,83,79.03,82.39,81.95,"27,415,500"
27-Oct-18,76.77,80.42,75.5,79.3,78.87,"39,882,800"
20-Oct-18,77.56,78.1,73.5,76.23,75.82,"38,493,800"
13-Oct-18,73.09,78,73,77.35,76.93,"34,118,700"
6-Oct-18,72.5,74.55,69.69,73.5,73.11,"44,817,500"
29-Sep-18,72.88,74.27,72.01,72.51,72.12,"24,823,200"
22-Sep-18,72.56,74.57,71.76,72.9,72.51,"21,393,400"
15-Sep-18,70.36,73.2,70.07,73,72.61,"27,220,600"
8-Sep-18,68.55,70.97,68.44,70.28,69.9,"21,513,000"
1-Sep-18,68.53,68.59,67.42,68.19,67.82,"20,515,700"
25-Aug-18,69.67,69.87,67.54,68.56,68.19,"23,300,000"
18-Aug-18,70.23,70.95,69.02,69.21,68.84,"22,034,100"
Dividend,0.44,,,,,
11-Aug-18,66.48,70.19,66.21,69.99,69.17,"32,716,600"
4-Aug-18,66.48,67.98,65.54,66.49,65.71,"30,306,700"
28-Jul-18,68.39,69.53,65.78,67.22,66.44,"31,766,300"
21-Jul-18,64.35,68.94,64.27,68.64,67.84,"36,748,600"
14-Jul-18,65.14,66.72,64.31,64.98,64.22,"43,610,100"
7-Jul-18,63.12,65.52,62.18,65.17,64.41,"46,152,300"
30-Jun-18,59.68,64.1,59.5,63.3,62.56,"39,126,000"
23-Jun-18,67.35,68.04,59.07,60.02,59.32,"88,139,300"
16-Jun-18,65.45,68.87,63.67,67.61,66.82,"43,131,900"
9-Jun-18,63.38,65.82,63.07,65.8,65.03,"30,519,000"
2-Jun-18,63.09,64.06,62.44,63.4,62.66,"24,335,300"
26-May-18,63.3,63.86,62.12,62.86,62.13,"17,705,000"
19-May-18,64.49,65.82,62.69,63.53,62.79,"19,274,000"
Dividend,0.4,,,,,
12-May-18,64.26,66.04,63.99,64.34,63.2,"21,306,800"
5-May-18,63.85,64.56,61.56,64.09,62.96,"24,958,100"
28-Apr-18,67.53,67.75,61.76,63.81,62.68,"27,329,700"
21-Apr-18,64.25,67.88,63.81,67.11,65.92,"22,633,100"
14-Apr-18,64.19,68.15,63.74,63.92,62.79,"29,775,300"
7-Apr-18,63.55,64.62,62.67,63.82,62.69,"22,246,200"
31-Mar-18,65.1,66.01,61.74,63.47,62.35,"38,043,400"
24-Mar-18,66.13,68,64.76,65.47,64.31,"31,716,200"
17-Mar-18,67.47,67.69,65.36,65.43,64.27,"24,041,700"
11-Mar-18,70.65,71.18,67.08,67.57,66.38,"30,148,500"
4-Mar-18,70.04,70.69,68.5,70.6,69.35,"24,793,100"
25-Feb-18,70.45,71.12,68.51,70.58,69.33,"29,680,800"
18-Feb-18,70.82,71.72,69.09,70.36,69.12,"18,155,300"
Dividend,0.4,,,,,
11-Feb-18,68.62,71.37,67.48,70.92,69.26,"25,528,600"
4-Feb-18,73.54,74.22,66.34,68.46,66.86,"32,491,400"
28-Jan-18,79.15,80.68,73.34,73.56,71.84,"36,429,700"
21-Jan-18,76.64,79.2,76.2,79.15,77.3,"19,405,500"
14-Jan-18,76.45,76.65,75.53,76.47,74.68,"21,772,200"
7-Jan-18,73.15,76.89,72.75,76.07,74.29,"26,784,100"
31-Dec-17,73.28,75.8,70.73,72.92,71.21,"35,275,500"
24-Dec-17,72.99,73.61,72.23,72.62,70.92,"10,471,700"
17-Dec-17,72.5,73.96,71.98,72.71,71.01,"27,943,200"
10-Dec-17,71.32,72.44,70,71.94,70.25,"35,992,300"
3-Dec-17,71.33,71.71,69.5,71.55,69.87,"37,261,900"
26-Nov-17,70.64,73.36,69.02,71.45,69.78,"39,279,700"
