BA,,,,
Date,Open,High,Low,Close*
23-Nov-18,315,317,311.87,312.32
18-Nov-18,335.55,336.04,296.61,312.32
11-Nov-18,370.21,370.48,331.16,335.95
Dividend,1.71,,,
3-Nov-18,359.76,373.7,356.48,369.34
27-Oct-18,360.55,371.54,328.63,357.75
20-Oct-18,357.85,364.6,342.83,359.27
13-Oct-18,359.46,368.57,354.21,356.26
6-Oct-18,383.84,386.82,352.26,360.11
29-Sep-18,375.16,394.28,375,386.47
22-Sep-18,371,374.22,364.32,371.9
15-Sep-18,359.28,372.57,354.54,372.23
8-Sep-18,349.49,362.26,337.31,359.8
1-Sep-18,341.6,353.35,339.28,349.28
25-Aug-18,352.11,355.68,341.58,342.79
18-Aug-18,348.6,355.87,345.46,349.38
11-Aug-18,339.6,348.5,328.03,346.4
Dividend,1.71,,,
4-Aug-18,347.37,352.12,336.45,339.41
28-Jul-18,361.99,362.45,345.67,348.44
21-Jul-18,355,364.54,345.5,360.65
14-Jul-18,353.97,361.86,352.35,354.9
7-Jul-18,337.5,351.24,336.51,350.79
30-Jun-18,330.69,339.69,329.1,334.64
23-Jun-18,332.52,341.42,327.29,335.51
16-Jun-18,353.19,357.65,336.2,338.91
9-Jun-18,371,373.33,353.47,357.88
2-Jun-18,358.97,374.48,358.85,369.5
26-May-18,357.71,360.97,350.66,356.72
19-May-18,358.46,365,351.62,360.09
12-May-18,344,352.05,340.25,351.23
Dividend,1.71,,,
5-May-18,335.23,348.57,335.21,342.46
28-Apr-18,341.17,342.58,319.13,334.43
21-Apr-18,339.55,347.67,323.28,340.88
14-Apr-18,332.34,342.41,327.63,338.67
7-Apr-18,332.25,339.67,322.05,329.28
31-Mar-18,325.2,338.96,311.88,326.12
24-Mar-18,330.48,334.88,311.17,327.88
17-Mar-18,327.45,341.91,318.32,321
11-Mar-18,355.2,355.23,322.3,330.47
4-Mar-18,338,355.21,336.61,354.52
25-Feb-18,359.5,371.6,335.3,344.67
18-Feb-18,352,360.81,351.4,356.66
11-Feb-18,336.57,359.5,335.13,355.04
Dividend,1.71,,,
4-Feb-18,342.67,353.59,317.39,332.83
28-Jan-18,341.23,361.45,334.16,348.91
21-Jan-18,335.29,345.98,332.04,343.22
14-Jan-18,339.9,352.23,331.33,337.73
7-Jan-18,308.66,336.88,305.75,336.21
31-Dec-17,295.75,308.89,295.4,308.84
24-Dec-17,295.54,297.44,294.65,294.91
17-Dec-17,296,299.33,293.01,295.1
10-Dec-17,286.21,297.37,279.9,293.94
3-Dec-17,276.16,287.32,274,285.9
26-Nov-17,265.38,278.73,264.72,271.38
19-Nov-17,263,267.48,262.76,265.88
12-Nov-17,261.67,265.04,260.15,262.26
Dividend,1.42,,,
4-Nov-17,262.62,267.62,259.56,260.85
28-Oct-17,255.45,263.79,255.33,261.75
21-Oct-17,265.13,267.21,254.5,256.46
14-Oct-17,261.5,264.83,256.03,264.75
7-Oct-17,259,263.79,257.11,260.74
30-Sep-17,254.65,258.99,253.53,258.58
23-Sep-17,256.97,258.77,251.17,254.21
16-Sep-17,249.97,259.3,248.91,256.45
9-Sep-17,239.5,249.95,237.09,249
2-Sep-17,240.3,240.36,234.29,238.78
26-Aug-17,236.22,242.53,234.61,240.33
19-Aug-17,235.77,239.89,234.35,235.89
12-Aug-17,236.01,240.26,234.57,235.77
Dividend,1.42,,,
5-Aug-17,237.6,241.43,230.94,234.88
29-Jul-17,241.85,246.49,236.04,237.71
22-Jul-17,212,242.68,211.4,241.27
15-Jul-17,208.73,212.2,207.53,212.14
8-Jul-17,202.32,208.73,202.19,208.51
1-Jul-17,198.07,203.28,197.75,202.37
24-Jun-17,202.77,204.39,196.45,197.75
17-Jun-17,197.88,202.35,197,202.23
10-Jun-17,190.3,197.95,188.05,196.44
3-Jun-17,190.07,191.07,186.39,190.03
27-May-17,186.76,191.7,184.53,190.23
20-May-17,183.78,187.61,182.52,186.59
13-May-17,183.3,184.11,175.47,180.76
Dividend,1.42,,,
6-May-17,185.38,187.21,178.18,183.25
29-Apr-17,184.23,185.07,181.8,185.01
22-Apr-17,181.75,184.93,180.11,184.83
15-Apr-17,175.84,180.93,175.65,180.38
8-Apr-17,179,179.97,175.56,175.62
1-Apr-17,177.08,180.18,175.5,178.85
25-Mar-17,174.37,178.49,173.75,176.86
18-Mar-17,180.1,180.25,174.77,175.82
12-Mar-17,177.16,180.38,177.07,180.1
5-Mar-17,181.4,182.84,177.92,178.7
26-Feb-17,178,185.71,177.55,182.18
19-Feb-17,173.92,178.8,173.68,177.44
12-Feb-17,166.45,173.25,166.35,172.71
Dividend,1.42,,,
5-Feb-17,162.42,167.42,162.38,166.23
29-Jan-17,165.92,165.99,160.82,162.4
22-Jan-17,158.94,170,157.29,167.7
15-Jan-17,158.2,160.3,156.75,159.53
8-Jan-17,159,159.94,156.67,158.83
1-Jan-17,156.3,159.7,155.21,159.1
