CAT,,,,
Date,Open,High,Low,Close*
23-Nov-18,121.96,124.05,121.57,122.32
18-Nov-18,129.15,129.49,121.23,122.32
11-Nov-18,127.18,131.92,123.13,129.96
3-Nov-18,126.09,135.22,124.55,126.91
27-Oct-18,116.88,128.3,112.06,125.79
20-Oct-18,132.68,133.13,112.25,115.05
Dividend,0.86,,,
13-Oct-18,142,143.89,131.27,131.32
6-Oct-18,151.95,153.66,139.75,142.07
29-Sep-18,153.61,159.37,151.5,153.31
22-Sep-18,156,156.1,150.56,152.49
15-Sep-18,144.85,157.72,144.55,156.38
8-Sep-18,141.77,147.2,140.37,144.9
1-Sep-18,137.86,142.14,136.93,141.32
25-Aug-18,139.4,143.77,138.38,138.85
18-Aug-18,139.82,140.96,136.42,138.21
11-Aug-18,135.92,140.21,129.43,139.34
4-Aug-18,138.52,143.32,134.73,135.92
28-Jul-18,145.71,146.7,135.69,138.51
21-Jul-18,136.62,143.95,135.6,142.56
Dividend,0.86,,,
14-Jul-18,140.88,141.5,136.53,136.82
7-Jul-18,136.22,141.86,135.84,140.75
30-Jun-18,133.8,137.35,133.2,135.41
23-Jun-18,138.86,139.46,132.68,135.67
16-Jun-18,148.42,149.46,139.12,139.94
9-Jun-18,155.19,159.19,148.43,150.02
2-Jun-18,154.79,157.93,152.02,155.32
26-May-18,154.26,155.98,151.5,153.52
19-May-18,159.26,161.6,153.72,155.85
12-May-18,155.61,156.84,151.71,155.71
5-May-18,148.18,156.74,148,154.86
28-Apr-18,145.21,147.19,138.15,146.37
21-Apr-18,154.65,161.1,142.16,144.72
Dividend,0.78,,,
14-Apr-18,151.74,157.12,150.28,153.25
7-Apr-18,144.8,152.91,142.8,150.23
31-Mar-18,146.44,148.88,138.05,142.99
24-Mar-18,147.82,151.12,143.63,147.38
17-Mar-18,154.24,157.28,143.79,144.29
11-Mar-18,158.24,159.34,151.31,156.46
4-Mar-18,145.15,158.42,144.01,158.25
25-Feb-18,163.05,164.6,145.86,146.38
18-Feb-18,155.17,162.48,154.27,162.41
11-Feb-18,151.87,161,150.25,156.29
4-Feb-18,154.93,158.93,142.85,149.21
28-Jan-18,165.58,165.88,156.53,157.49
21-Jan-18,170.32,173.1,162.46,167.06
Dividend,0.78,,,
14-Jan-18,172.9,173.24,167.57,170.41
7-Jan-18,164.11,170.67,162.55,170.3
31-Dec-17,158.3,162.05,155.4,161.96
24-Dec-17,156.04,158.65,155.66,157.58
17-Dec-17,147.75,155.8,146.8,155.75
10-Dec-17,144.63,149.05,143.21,146.69
3-Dec-17,144.25,145.19,139.19,143.86
26-Nov-17,137.47,142.4,136.89,141.52
19-Nov-17,136.44,138.42,136.25,137.39
12-Nov-17,135.53,138.12,133.81,136.13
4-Nov-17,136.8,138.9,134.65,136.48
28-Oct-17,137.3,137.81,135.08,136.63
21-Oct-17,131.95,140.44,131.16,137.81
Dividend,0.78,,,
14-Oct-17,131.25,132.12,129.4,131.36
7-Oct-17,126.92,131.41,125.94,130.71
30-Sep-17,124.4,127.09,123.95,126.93
23-Sep-17,124.37,125.55,123.62,124.71
16-Sep-17,123.62,125.42,122.85,124.43
9-Sep-17,118.82,121.57,117.47,121.37
2-Sep-17,118.14,119.19,116.5,117.82
26-Aug-17,115.76,118.83,114.3,118.28
19-Aug-17,113.75,116.64,113.27,115.35
12-Aug-17,113.46,114.64,112.69,113.92
5-Aug-17,114.48,115.46,112.75,112.85
29-Jul-17,114.5,114.66,112.09,114.35
22-Jul-17,107.86,114.9,107.29,114.1
Dividend,0.78,,,
15-Jul-17,108,109.38,105.11,106.59
8-Jul-17,106.73,110,106.24,108.77
1-Jul-17,106.51,107.89,105.85,106.92
24-Jun-17,104.66,108.04,103.44,107.46
17-Jun-17,107.95,108.18,102.3,104.11
10-Jun-17,105.92,107.91,103.8,107.6
3-Jun-17,105.58,107.17,102.45,105.92
27-May-17,105.26,106.76,103.6,105.95
20-May-17,102.67,105.94,101.81,105.66
13-May-17,101.59,102.86,97.74,102.43
6-May-17,99.48,101.92,98.94,100.71
29-Apr-17,102.65,102.99,98.64,99.64
22-Apr-17,95.84,105.98,95.8,102.26
Dividend,0.77,,,
15-Apr-17,93.69,95.97,92.98,94.32
8-Apr-17,96.31,97.89,93.09,93.1
1-Apr-17,92.43,96.73,91,95.52
25-Mar-17,90.9,93.37,90.34,92.76
18-Mar-17,93.13,95.48,91.56,92.15
12-Mar-17,93.33,94.09,90.62,92.91
5-Mar-17,94.32,96.23,90.41,92.31
26-Feb-17,95.48,98.97,92.84,95.12
19-Feb-17,98.87,99.2,93.5,95.48
12-Feb-17,97.69,99.07,97.16,98.85
5-Feb-17,92.81,96.62,92.11,96.31
29-Jan-17,98.4,98.59,92.81,93.28
22-Jan-17,94.6,99.46,93.56,98.99
Dividend,0.77,,,
15-Jan-17,94.24,95,92.53,94.58
8-Jan-17,92.93,94.75,92.2,94.48
1-Jan-17,94,95.19,92.41,93.04
