CVX,,,,
Date,Open,High,Low,Close*
23-Nov-18,114.7,115.22,112.11,113.6
18-Nov-18,118.14,119.5,112.11,113.6
Dividend,1.12,,,
11-Nov-18,120.9,121.37,112.72,119.06
3-Nov-18,116.62,121.87,116.6,119.51
27-Oct-18,112.04,117.11,107.54,114.73
20-Oct-18,118.1,118.49,109.66,111.53
13-Oct-18,117.7,119.26,116.02,118.14
6-Oct-18,124.05,127.6,116.18,117.77
29-Sep-18,123.11,125.9,123.11,125.33
22-Sep-18,121.91,124.24,121.57,122.28
15-Sep-18,117.61,121.32,117.28,121.13
8-Sep-18,115.43,117.61,113.76,117.38
1-Sep-18,118.93,119.63,113.39,114.6
25-Aug-18,119.36,121.34,118.09,118.46
18-Aug-18,118,119.54,117.33,119.01
Dividend,1.12,,,
11-Aug-18,123.31,123.68,117.09,117.8
4-Aug-18,124.42,125.7,121.5,123.34
28-Jul-18,126.76,128.55,123.3,124.05
21-Jul-18,122.35,127.04,121.16,125.97
14-Jul-18,123.01,123.88,119.67,122.27
7-Jul-18,125,128.51,122.97,124.04
30-Jun-18,125.28,126.69,123.19,124.14
23-Jun-18,124.43,127.73,121.93,126.43
16-Jun-18,124.35,126.98,122.16,125.1
9-Jun-18,126.77,128.38,123.84,124.04
2-Jun-18,124.53,127.98,121.55,126.44
26-May-18,121.1,125.67,120.06,123.85
19-May-18,128.79,130.39,121.22,122.19
Dividend,1.12,,,
12-May-18,130.25,131.08,127.8,127.86
5-May-18,126.59,130.76,123.63,129.84
28-Apr-18,127.02,127.9,123.08,125.53
21-Apr-18,122,127.05,121.12,126.62
14-Apr-18,120.6,125,119.77,122.31
7-Apr-18,115.3,120.79,114.88,119.92
31-Mar-18,113.89,117.89,110.54,114.76
24-Mar-18,114.24,116.86,112.06,114.04
17-Mar-18,115.07,118.11,112.7,112.98
11-Mar-18,117.5,118.35,114.56,115.4
4-Mar-18,111.4,117.39,111.02,117.22
25-Feb-18,113.18,116.05,109.83,111.64
18-Feb-18,112.28,112.76,108.9,112.59
Dividend,1.12,,,
11-Feb-18,114.8,115.85,110.84,112.14
4-Feb-18,116.99,119.27,108.02,113.5
28-Jan-18,130.06,131.58,117.64,118.58
21-Jan-18,131.3,132.67,130.34,131.19
14-Jan-18,133.67,133.88,130.21,131.3
7-Jan-18,127.86,133.85,127.63,133.6
31-Dec-17,125.71,128.94,125.54,127.9
24-Dec-17,125.23,126.2,125.05,125.19
17-Dec-17,119.92,125.65,119.51,124.98
10-Dec-17,120.29,121.11,118.68,119.73
3-Dec-17,119.81,122.3,118.96,119.92
26-Nov-17,115.85,120.46,115.24,119.51
19-Nov-17,114.77,116.85,114.44,116.51
Dividend,1.08,,,
12-Nov-17,117.22,117.77,113.9,114.71
4-Nov-17,115.37,118,114.99,117.18
28-Oct-17,113.17,116.97,112.84,114.99
21-Oct-17,118.72,119.92,112.57,113.54
14-Oct-17,119.84,120.89,117.95,118.64
7-Oct-17,117.34,120,117.01,119.16
30-Sep-17,116.42,118.69,115.53,117.03
23-Sep-17,117.23,118.33,116.73,117.5
16-Sep-17,114.42,117.83,114.32,117.29
9-Sep-17,111.83,115.34,111.52,114.63
2-Sep-17,109.36,112.87,108.7,110.78
26-Aug-17,108.54,109.16,107.04,108.76
19-Aug-17,106.48,108.71,105.3,108.23
Dividend,1.08,,,
12-Aug-17,109.26,109.82,105.5,106.48
5-Aug-17,109.81,111.44,109.13,109.23
29-Jul-17,108.39,111.2,108.15,110.11
22-Jul-17,103.18,109.13,102.92,108.12
15-Jul-17,104.32,105.37,103.15,103.25
8-Jul-17,103.44,104.75,102.55,104.44
1-Jul-17,104.24,106.96,102.81,103.49
24-Jun-17,105.03,105.19,103.89,104.33
17-Jun-17,108.31,108.38,103.92,105
10-Jun-17,106.4,108.49,105.74,108.35
3-Jun-17,102.8,106.49,102.55,106.4
27-May-17,104.35,104.71,102.77,103.11
20-May-17,107.09,107.09,104.6,104.72
Dividend,1.08,,,
13-May-17,107.15,107.71,103.84,106.52
6-May-17,105.93,107.08,104.82,105.96
29-Apr-17,106.26,107.26,104.14,105.79
22-Apr-17,105.79,107.6,104.67,106.7
15-Apr-17,106.17,106.68,103.83,104.89
8-Apr-17,109.12,110.2,105.93,106.1
1-Apr-17,107.22,110.67,106.38,108.86
25-Mar-17,107,108.68,105.82,107.37
18-Mar-17,107.27,108.86,107.02,107.99
12-Mar-17,110.51,110.81,107.12,107.68
5-Mar-17,113.25,113.88,108.51,110.61
26-Feb-17,110.65,114.39,110.37,113.55
19-Feb-17,110.73,112.31,109.47,110.12
Dividend,1.08,,,
12-Feb-17,113.36,113.99,109.27,110.33
5-Feb-17,113.28,113.5,110.32,113.05
29-Jan-17,113.15,114.28,110.71,113.57
22-Jan-17,115.12,117.82,112.85,113.79
15-Jan-17,116.4,116.77,115.29,115.6
8-Jan-17,116.29,116.99,114.86,116.38
1-Jan-17,118.38,119,116.38,116.84
