CSCO,,,,
Date,Open,High,Low,Close*
23-Nov-18,44.45,45.12,44.39,44.54
18-Nov-18,46.35,46.58,44.14,44.54
11-Nov-18,47.14,47.25,44.08,46.35
3-Nov-18,45.74,48.44,45.35,47.11
27-Oct-18,44.89,46.3,42.94,45.48
20-Oct-18,45.77,46.28,43.78,44.25
13-Oct-18,45.52,46.49,44.67,45.34
6-Oct-18,47.92,48.5,43.92,45.71
Dividend,0.33,,,
29-Sep-18,49,49.47,47.61,48.13
22-Sep-18,48.21,49.06,48.06,48.65
15-Sep-18,47.23,48.64,47.07,48.56
8-Sep-18,47.3,47.49,46.44,47.4
1-Sep-18,47.84,48.06,46.76,47.05
25-Aug-18,46.5,47.83,46.34,47.77
18-Aug-18,45.99,46.44,45.72,46.32
11-Aug-18,44.08,46.09,43.01,45.87
4-Aug-18,42.73,44.11,42.66,43.78
28-Jul-18,42.46,42.88,41.2,42.83
21-Jul-18,41.92,43.83,41.44,42.57
14-Jul-18,42.05,43.01,41.86,42.01
7-Jul-18,42.75,43.78,40.94,41.78
Dividend,0.33,,,
30-Jun-18,42.56,43.23,41.96,42.71
23-Jun-18,42.69,43.5,41.81,43.03
16-Jun-18,43.87,44.42,42.89,43.2
9-Jun-18,43.62,44.81,43.44,44.25
2-Jun-18,43.5,44.39,43.21,43.48
26-May-18,42.76,43.69,42.52,43.66
19-May-18,43.49,43.97,42.89,43.26
12-May-18,45.75,46.23,43.02,43.21
5-May-18,45.36,46.37,45.19,45.93
28-Apr-18,44.92,45.5,43.44,45.3
21-Apr-18,44.26,45.34,42.75,44.71
14-Apr-18,43.12,44.95,43.03,44.09
7-Apr-18,40.95,43.74,40.9,43
Dividend,0.33,,,
31-Mar-18,42.52,42.63,40.19,40.73
24-Mar-18,43.25,44.52,41.58,42.89
17-Mar-18,44.59,44.9,42.42,42.42
11-Mar-18,45.53,46.16,44.92,45.01
4-Mar-18,43.92,45.54,43.7,45.37
25-Feb-18,44.3,45.89,43.1,44.06
18-Feb-18,44,44.69,42.75,44
11-Feb-18,40.52,45.13,40.22,44.33
4-Feb-18,40.87,41.41,37.35,39.53
28-Jan-18,42.3,42.98,40.67,40.93
21-Jan-18,41.2,42.69,41.02,42.56
14-Jan-18,40.9,41.52,40.32,41.29
7-Jan-18,39.52,40.93,39.35,40.87
Dividend,0.29,,,
31-Dec-17,38.67,39.88,38.43,39.53
24-Dec-17,38.55,38.73,38.3,38.3
17-Dec-17,38.48,38.99,38.21,38.55
10-Dec-17,37.59,38.37,37.56,38.19
3-Dec-17,37.81,37.99,37.17,37.61
26-Nov-17,36.51,38.03,36.5,37.6
19-Nov-17,35.93,36.97,35.93,36.49
12-Nov-17,33.86,36.67,33.75,35.9
4-Nov-17,34.37,34.56,33.67,33.99
28-Oct-17,34.13,34.75,33.82,34.47
21-Oct-17,34.45,34.73,34.07,34.43
14-Oct-17,33.6,34.39,33.44,34.25
7-Oct-17,33.77,33.91,33.17,33.47
4-Oct-17,0.29 Dividend,,,
30-Sep-17,33.61,33.9,33.29,33.75
23-Sep-17,33.31,34.1,33.2,33.63
16-Sep-17,32.43,33.53,32.26,33.37
9-Sep-17,31.71,32.5,31.67,32.44
2-Sep-17,32.15,32.24,31.46,31.48
26-Aug-17,31.6,32.35,31.19,32.3
19-Aug-17,30.37,31.8,30.36,31.44
12-Aug-17,31.69,32.47,30.36,30.37
5-Aug-17,31.79,32,31,31.47
29-Jul-17,31.54,31.91,31.25,31.8
22-Jul-17,31.86,32.25,31.21,31.52
15-Jul-17,31.5,32.05,31.17,31.84
8-Jul-17,30.88,31.45,30.82,31.42
Dividend,0.29,,,
1-Jul-17,31.09,31.64,30.67,30.9
24-Jun-17,32.22,32.5,31.25,31.3
17-Jun-17,31.77,32.3,31.51,32.09
10-Jun-17,31.34,31.97,31.15,31.63
3-Jun-17,32.05,32.05,31.09,31.37
27-May-17,31.4,32.06,31.39,31.98
20-May-17,31.15,31.98,31.15,31.5
13-May-17,34,34.46,30.37,31.21
6-May-17,34.46,34.6,33.14,33.45
29-Apr-17,34.11,34.49,33.81,34.39
22-Apr-17,33.24,34.11,33.13,34.07
15-Apr-17,32.48,32.95,32.45,32.82
8-Apr-17,32.96,33.22,32.42,32.42
Dividend,0.29,,,
1-Apr-17,33.7,33.94,32.89,32.96
25-Mar-17,33.82,34.21,33.65,33.8
18-Mar-17,34.2,34.47,33.78,34.08
12-Mar-17,34.22,34.48,33.84,34.23
5-Mar-17,34.04,34.3,33.87,34.26
26-Feb-17,34.21,34.53,34.04,34.29
19-Feb-17,33.69,34.32,33.66,34.32
12-Feb-17,31.67,33.97,31.55,33.74
5-Feb-17,31.29,31.69,31.12,31.51
29-Jan-17,30.94,31.35,30.42,31.32
22-Jan-17,30.14,31.05,30.09,30.98
15-Jan-17,30,30.25,29.84,30.1
8-Jan-17,30.22,30.55,29.8,30.07
Dividend,0.26,,,
1-Jan-17,30.37,30.56,30.02,30.23
