KO,,,,
Date,Open,High,Low,Close*
23-Nov-18,48.75,49.23,48.55,49.02
18-Nov-18,50.31,50.84,48.55,49.02
11-Nov-18,49.61,50.25,49.27,50.17
3-Nov-18,48,49.89,47.92,49.68
27-Oct-18,46.15,48.15,46.04,48
20-Oct-18,46.37,47.39,45.43,45.92
13-Oct-18,44.64,46.49,44.59,46.33
6-Oct-18,45.99,46.7,44.25,44.68
29-Sep-18,46.17,46.56,45.43,45.88
22-Sep-18,46.49,46.53,45.57,46.19
15-Sep-18,46,46.69,45.87,46.58
Dividend,0.39,,,
8-Sep-18,45.91,46.31,45.61,45.99
1-Sep-18,44.6,46,44.51,45.72
25-Aug-18,46.05,46.05,44.39,44.57
18-Aug-18,46.68,46.87,45.58,45.63
11-Aug-18,46.05,46.73,45.65,46.6
4-Aug-18,46.6,46.87,45.97,46.08
28-Jul-18,46.1,46.76,46.05,46.62
21-Jul-18,45.28,46.59,44.61,46.21
14-Jul-18,44.73,45.43,44.53,45.28
7-Jul-18,44.54,45,44.34,44.74
30-Jun-18,43.78,44.94,43.58,44.64
23-Jun-18,43.16,44.1,42.99,43.86
16-Jun-18,43.88,43.96,42.96,43.25
Dividend,0.39,,,
9-Jun-18,43.95,44.52,43.45,44.12
2-Jun-18,43.36,44,43.04,43.95
26-May-18,42.12,43.32,42.1,43.12
19-May-18,42.31,42.6,41.93,42.4
12-May-18,42.25,42.38,41.45,42.18
5-May-18,42.34,42.49,41.67,42.14
28-Apr-18,43.5,43.69,41.52,42.36
21-Apr-18,43.74,44.1,41.91,43.31
14-Apr-18,44.65,45.03,43.58,43.74
7-Apr-18,44.03,44.69,43.72,44.51
31-Mar-18,43.44,44.61,42.47,43.92
24-Mar-18,42.61,43.92,42.25,43.43
17-Mar-18,43.46,43.71,42.29,42.33
Dividend,0.39,,,
11-Mar-18,44.95,45.09,43.45,43.46
4-Mar-18,43.57,44.82,43.47,44.82
25-Feb-18,44.23,44.39,42.82,43.72
18-Feb-18,44.75,44.83,43.22,44.04
11-Feb-18,43.56,45.64,43.37,44.98
4-Feb-18,46.65,46.92,42.19,43.13
28-Jan-18,48.21,48.46,46.63,46.73
21-Jan-18,47.14,48.62,47.09,48.53
14-Jan-18,46.15,47.25,46.14,47.16
7-Jan-18,45.95,46.39,45.86,46.15
31-Dec-17,45.91,46.22,45.34,46.07
24-Dec-17,45.7,46.18,45.61,45.88
17-Dec-17,46.2,46.38,45.55,45.59
10-Dec-17,45.31,46.42,44.92,46.19
3-Dec-17,45.99,46.48,45.05,45.31
Dividend,0.37,,,
26-Nov-17,45.88,46.15,45.03,45.97
19-Nov-17,45.65,46.05,45.42,45.88
12-Nov-17,46.6,47.48,45.25,45.71
4-Nov-17,45.91,46.64,45.31,46.54
28-Oct-17,46,46.17,45.63,45.97
21-Oct-17,46.38,46.76,45.91,46.07
14-Oct-17,46.12,46.79,46.1,46.38
7-Oct-17,45.55,46.38,45.34,46.18
30-Sep-17,45.05,45.75,44.75,45.49
23-Sep-17,45.5,45.87,44.38,45.01
16-Sep-17,46.15,46.24,45.36,45.49
Dividend,0.37,,,
9-Sep-17,46.35,46.98,45.94,46.18
2-Sep-17,45.75,46.37,45.65,46.3
26-Aug-17,45.63,45.8,45.25,45.78
19-Aug-17,45.67,45.8,45.31,45.57
12-Aug-17,45.67,46.34,45.62,45.67
5-Aug-17,45.52,45.9,45.33,45.59
29-Jul-17,46,46.08,45.38,45.5
22-Jul-17,45.04,46.43,44.31,46.01
15-Jul-17,44.66,45.07,44.55,45.03
8-Jul-17,44.45,44.77,44.15,44.68
1-Jul-17,45.11,45.27,44.24,44.39
24-Jun-17,45.32,45.51,44.65,44.85
17-Jun-17,45.35,45.87,45.03,45.25
Dividend,0.37,,,
10-Jun-17,45.32,45.48,44.8,45.31
3-Jun-17,45.78,46.06,44.97,45.32
27-May-17,45.16,45.89,45.11,45.89
20-May-17,43.89,45.56,43.81,45.39
13-May-17,43.46,44.17,43.46,43.9
6-May-17,43.59,43.91,43.36,43.59
29-Apr-17,43.15,43.84,43.1,43.69
22-Apr-17,43.24,43.43,42.82,43.15
15-Apr-17,42.79,43.79,42.78,43.07
8-Apr-17,42.73,43.08,42.51,42.79
1-Apr-17,42.58,42.86,42.27,42.61
25-Mar-17,42.11,42.65,42.05,42.44
18-Mar-17,42.1,42.7,41.91,42.12
Dividend,0.37,,,
12-Mar-17,41.92,42.39,41.83,42.03
5-Mar-17,42.34,42.43,41.74,42.29
26-Feb-17,41.75,42.56,41.59,42.48
19-Feb-17,41.2,42,41.2,41.78
12-Feb-17,40.77,41.36,40.22,41.23
5-Feb-17,41.53,42.15,40.55,40.58
29-Jan-17,41.3,41.79,41.21,41.54
22-Jan-17,41.31,42.25,41.21,41.45
15-Jan-17,40.84,41.44,40.8,41.32
8-Jan-17,41.23,41.58,40.69,40.88
1-Jan-17,41.5,41.97,41.28,41.74
