DIS,,,,
Date,Open,High,Low,Close*
23-Nov-18,112.24,112.79,111.74,112.08
18-Nov-18,116,117.83,111.52,112.08
11-Nov-18,118,118.46,115.7,116.19
3-Nov-18,115.74,120.2,115.12,118
27-Oct-18,114.45,116.95,111.96,115.18
20-Oct-18,119.05,119.69,111.25,113.19
13-Oct-18,111.93,119.17,111.89,118.9
6-Oct-18,114.83,117.77,110.32,112.61
29-Sep-18,117.28,118.1,114.73,114.78
22-Sep-18,112.27,117.46,111.7,116.94
15-Sep-18,109.58,111.98,108.23,110.4
8-Sep-18,111.44,111.91,108.88,109.26
1-Sep-18,111.8,112,109.36,110.97
25-Aug-18,112.49,112.89,111.56,112.02
18-Aug-18,112.93,113,111.44,111.93
11-Aug-18,112.66,113.33,111.47,112.48
4-Aug-18,114.66,117.9,112.4,112.68
28-Jul-18,112.2,114.1,111.68,114.09
21-Jul-18,111.05,114.56,109.63,112.62
14-Jul-18,109.82,114.68,108.77,111.48
7-Jul-18,105.01,110.24,104.75,110
Dividend,0.84,,,
30-Jun-18,104.15,105.95,103.5,104.78
23-Jun-18,106,106.08,103.48,104.81
16-Jun-18,107,107.9,105.76,106.34
9-Jun-18,103.93,109.49,102.67,108.85
2-Jun-18,99.76,103.99,99.7,103.98
26-May-18,100.55,101.65,98.81,99.36
19-May-18,104.22,105.49,101.21,102.2
12-May-18,102.44,105.48,101.98,103.93
5-May-18,102.35,102.68,99.3,102.07
28-Apr-18,100.41,101.37,97.68,101.15
21-Apr-18,100.55,101.49,98.86,99.23
14-Apr-18,100.69,102.71,99.73,100.24
7-Apr-18,100.7,101.65,99.58,100.35
31-Mar-18,100.18,102.38,97.7,100.35
24-Mar-18,99.86,101.28,98.15,100.44
17-Mar-18,102.8,102.95,98.45,98.54
11-Mar-18,104.72,105.94,102.84,102.87
4-Mar-18,102.71,104.95,102.42,104.73
25-Feb-18,108,109.81,101.33,102.99
18-Feb-18,106.37,107.57,104.93,107.25
11-Feb-18,103.93,107.35,102.1,106.53
4-Feb-18,107.1,108.63,100.26,103.09
28-Jan-18,112.1,112.45,107.36,108.7
21-Jan-18,110.27,112.53,109.89,112.19
14-Jan-18,113.07,113.16,109.84,110.59
7-Jan-18,110.89,112.72,109.01,112.47
31-Dec-17,108.95,113.19,108.56,111.62
24-Dec-17,108.49,109.37,107.06,107.51
17-Dec-17,111.84,112.39,108.45,108.67
10-Dec-17,104.87,112,104.77,111.27
Dividend,0.84,,,
3-Dec-17,106.5,112.67,104.08,104.23
26-Nov-17,102.63,106.26,102.17,105.25
19-Nov-17,103.42,103.42,102.45,102.64
12-Nov-17,104.14,105.14,102.45,103.44
4-Nov-17,98.37,106.24,98.35,104.78
28-Oct-17,98.12,99.46,97.38,98.64
21-Oct-17,99.12,99.48,96.89,98.31
14-Oct-17,97.64,99.66,97.54,99.4
7-Oct-17,100.81,100.98,96.8,97.38
30-Sep-17,99.31,100.93,99.11,100.07
23-Sep-17,98.6,99.74,97.66,98.57
16-Sep-17,98.39,99.39,97.72,98.6
9-Sep-17,97.9,98.95,96.96,98.52
2-Sep-17,102,102.55,96.2,97.07
26-Aug-17,102.49,103.45,101,101.5
19-Aug-17,100.64,102.98,100.53,102.41
12-Aug-17,102.8,102.81,100.66,100.7
5-Aug-17,107.59,107.65,100.5,101.99
29-Jul-17,110.02,110.83,107.32,107.69
22-Jul-17,107.31,110.19,106.2,109.96
15-Jul-17,105.17,107.71,104.31,107.09
8-Jul-17,103.3,105.34,102.87,105.09
Dividend,0.78,,,
1-Jul-17,106.76,108.62,102.72,103.32
24-Jun-17,104.6,107.54,104.52,106.25
17-Jun-17,105.6,106,103.17,104.36
10-Jun-17,105.62,107.26,104.77,105.51
3-Jun-17,107.04,107.22,104.08,105.62
27-May-17,108.49,108.65,106.95,107.18
20-May-17,107.65,108.49,106.78,108.41
13-May-17,109.73,110.08,105.23,107.52
6-May-17,112.39,112.39,108.13,109.69
29-Apr-17,115.59,115.61,109.06,111.99
22-Apr-17,115.26,116.1,113.66,115.6
15-Apr-17,113.33,115.12,113,114.44
8-Apr-17,112.8,114.25,112.04,113.2
1-Apr-17,113.18,113.84,112.39,112.58
25-Mar-17,111.81,113.71,111.45,113.39
18-Mar-17,112.07,113.16,111.35,112.14
12-Mar-17,110.92,112.89,110.82,111.76
5-Mar-17,110.77,111.5,110.09,110.92
26-Feb-17,109.93,111.8,109.83,111.24
19-Feb-17,109.94,110.49,109.1,110.32
12-Feb-17,108.95,110.87,108.9,110.06
5-Feb-17,109.92,111.42,108.58,109.26
29-Jan-17,109.86,111.99,108.96,110.3
22-Jan-17,107.34,109.4,106.57,109.3
15-Jan-17,107.91,108.93,106.81,107.66
8-Jan-17,108.58,109.49,106.9,108.06
1-Jan-17,105.3,109.35,105.21,108.98
